m;millis;step_ha;step_la;load
m;118169;-3352;-1117;11695
m;118179;-3365;-1122;11703
m;118191;-3379;-1126;11584
m;118202;-3393;-1131;11529
m;118212;-3407;-1136;11516
m;118222;-3420;-1140;11530
m;118234;-3434;-1145;11375
m;118245;-3448;-1149;11526
m;118256;-3462;-1154;11511
m;118267;-3476;-1159;11548
m;118278;-3489;-1163;11623
m;118289;-3503;-1168;11578
m;118300;-3517;-1172;11577
m;118310;-3531;-1177;11605
m;118322;-3545;-1182;11620
m;118333;-3559;-1186;11586
m;118344;-3573;-1191;11570
m;118355;-3587;-1196;11546
m;118366;-3600;-1200;11508
m;118377;-3614;-1205;11529
m;118388;-3628;-1209;11343
m;118400;-3642;-1214;11494
m;118411;-3656;-1219;11585
m;118422;-3670;-1223;11517
m;118432;-3684;-1228;11513
m;118443;-3698;-1233;11401
m;118454;-3713;-1238;11493
m;118464;-3727;-1242;11474
m;118474;-3741;-1247;11503
m;118484;-3755;-1252;11497
m;118495;-3769;-1256;11444
m;118505;-3783;-1261;11465
m;118515;-3797;-1266;11448
m;118525;-3811;-1270;11434
m;118537;-3826;-1275;11503
m;118548;-3840;-1280;11507
m;118559;-3854;-1285;11513
m;118571;-3868;-1289;11587
m;118583;-3883;-1294;11520
m;118594;-3897;-1299;11625
m;118604;-3911;-1304;11618
m;118615;-3925;-1308;11661
m;118626;-3940;-1313;11521
m;118637;-3954;-1318;11491
m;118648;-3969;-1323;11699
m;118659;-3983;-1328;11683
m;118669;-3997;-1332;11710
m;118681;-4012;-1337;11699
m;118691;-4026;-1342;11463
m;118703;-4041;-1347;11543
m;118714;-4055;-1352;11530
m;118725;-4069;-1356;11522
m;118736;-4084;-1361;11450
m;118748;-4098;-1366;11480
m;118759;-4113;-1371;11554
m;118770;-4128;-1376;11490
m;118780;-4142;-1381;11446
m;118792;-4157;-1386;11319
m;118803;-4171;-1390;11506
m;118814;-4186;-1395;11503
m;118824;-4200;-1400;11391
m;118836;-4215;-1405;11502
m;118847;-4230;-1410;11519
m;118857;-4244;-1415;11528
m;118868;-4259;-1420;11412
m;118880;-4274;-1425;11408
m;118891;-4288;-1429;11352
m;118902;-4303;-1434;11524
m;118914;-4318;-1439;11535
m;118925;-4333;-1444;11468
m;118935;-4347;-1449;11437
m;118946;-4362;-1454;11428
m;118957;-4377;-1459;11606
m;118968;-4392;-1464;11502
m;118979;-4407;-1469;11513
m;118990;-4422;-1474;11624
m;119002;-4437;-1479;11518
m;119012;-4451;-1484;11507
m;119023;-4466;-1489;11462
m;119034;-4481;-1494;11500
m;119046;-4496;-1499;11458
m;119056;-4511;-1504;11477
m;119066;-4526;-1509;11394
m;119077;-4541;-1514;11394
m;119089;-4556;-1519;11535
m;119100;-4571;-1524;11402
m;119111;-4586;-1529;11530
m;119123;-4602;-1534;11486
m;119135;-4617;-1539;11572
m;119146;-4632;-1544;11573
m;119157;-4647;-1549;11501
m;119169;-4662;-1554;11449
m;119180;-4677;-1559;11443
m;119191;-4692;-1564;11520
m;119202;-4707;-1569;11444
m;119214;-4722;-1574;11654
m;119225;-4737;-1579;11583
m;119237;-4753;-1584;11536
m;119248;-4768;-1589;11556
m;119260;-4783;-1594;11502
m;119271;-4798;-1599;11703
m;119282;-4813;-1604;11571
m;119293;-4828;-1609;11570
