step;t;thet
256;0.0544;4.26081
257;0.0546125;4.27181
258;0.054825;4.28275
259;0.0550375;4.29364
260;0.05525;4.3045
261;0.0554625;4.3153
262;0.055675;4.32607
263;0.0558875;4.3368
264;0.0561;4.3475
265;0.0563125;4.35816
266;0.056525;4.36879
267;0.0567375;4.3794
268;0.05695;4.38998
269;0.0571625;4.40054
270;0.057375;4.41107
271;0.0575875;4.42159
272;0.0578;4.4321
273;0.0580125;4.44259
274;0.058225;4.45308
275;0.0584375;4.46357
276;0.05865;4.47405
277;0.0588625;4.48454
278;0.059075;4.49504
279;0.0592875;4.50556
280;0.0595;4.5161
281;0.0597125;4.52667
282;0.059925;4.53727
283;0.0601375;4.54793
284;0.06035;4.55864
285;0.0605625;4.56943
286;0.060775;4.58031
287;0.0609875;4.5913
288;0.0612;4.60243
289;0.0614125;4.61373
290;0.061625;4.62523
291;0.0618375;4.63699
292;0.06205;4.64905
293;0.0622625;4.66147
294;0.062475;4.6743
295;0.0626875;4.68755
296;0.0629;4.70116
297;0.0631125;4.71495
298;0.063325;4.7287
299;0.0635375;4.74219
300;0.06375;4.75528
301;0.0639625;4.76796
302;0.064175;4.78024
303;0.0643875;4.79218
304;0.0646;4.80384
305;0.0648125;4.81526
306;0.065025;4.82649
307;0.0652375;4.83757
308;0.06545;4.84851
309;0.0656625;4.85936
310;0.065875;4.87012
311;0.0660875;4.88081
312;0.0663;4.89144
313;0.0665125;4.90204
314;0.066725;4.91259
315;0.0669375;4.92312
316;0.06715;4.93363
317;0.0673625;4.94413
318;0.067575;4.95461
319;0.0677875;4.9651
320;0.068;4.97558
321;0.0682125;4.98607
322;0.068425;4.99657
323;0.0686375;5.00708
324;0.06885;5.01761
325;0.0690625;5.02815
326;0.069275;5.03872
327;0.0694875;5.04931
328;0.0697;5.05992
329;0.0699125;5.07057
330;0.070125;5.08124
331;0.0703375;5.09195
332;0.07055;5.10269
333;0.0707625;5.11348
334;0.070975;5.1243
335;0.0711875;5.13517
336;0.0714;5.14608
337;0.0716125;5.15704
338;0.071825;5.16806
339;0.0720375;5.17912
340;0.07225;5.19024
341;0.0724625;5.20142
342;0.072675;5.21267
343;0.0728875;5.22397
344;0.0731;5.23534
345;0.0733125;5.24679
346;0.073525;5.25831
347;0.0737375;5.2699
348;0.07395;5.28157
349;0.0741625;5.29333
350;0.074375;5.30518
351;0.0745875;5.31711
352;0.0748;5.32914
353;0.0750125;5.34127
354;0.075225;5.35351
355;0.0754375;5.36585
356;0.07565;5.37831
357;0.0758625;5.39089
358;0.076075;5.4036
359;0.0762875;5.41643
360;0.0765;5.42941
361;0.0767125;5.44252
362;0.076925;5.45579
363;0.0771375;5.46923
364;0.07735;5.48282
365;0.0775625;5.4966
366;0.077775;5.51057
367;0.0779875;5.52473
368;0.0782;5.53911
369;0.0784125;5.55371
370;0.078625;5.56855
371;0.0788375;5.58364
372;0.07905;5.599
373;0.0792625;5.61465
374;0.079475;5.63061
375;0.0796875;5.64691
376;0.0799;5.66357
377;0.0801125;5.68062
378;0.080325;5.69809
379;0.0805375;5.71603
380;0.08075;5.73447
381;0.0809625;5.75348
382;0.081175;5.77311
383;0.0813875;5.79344
384;0.0816;5.81456
385;0.0818125;5.83657
386;0.082025;5.85962
387;0.0822375;5.88386
388;0.08245;5.90954
389;0.0826625;5.93694
390;0.082875;5.9665
391;0.0830875;5.99884
392;0.0833;6.03496
393;0.0835125;6.0766
394;0.083725;6.1274
395;0.0839375;6.1976
396;0.08415;6.31505
397;0.0843625;6.40706
398;0.084575;6.46552
399;0.0847875;6.51114
400;0.085;6.54976
