m;millis;step_ha;step_la;load
m;150640;-81732;27244;60527
m;150650;-81747;27249;59688
m;150661;-81762;27254;60170
m;150672;-81777;27259;61079
m;150683;-81792;27264;61482
m;150693;-81806;27268;61727
m;150705;-81822;27274;62869
m;150716;-81837;27279;62720
m;150726;-81852;27284;62185
m;150736;-81866;27288;61995
m;150748;-81882;27294;62696
m;150759;-81897;27299;62308
m;150770;-81912;27304;62544
m;150780;-81926;27308;63059
m;150792;-81942;27314;62325
m;150803;-81957;27319;62464
m;150813;-81972;27324;63231
m;150823;-81986;27328;62994
m;150835;-82002;27334;64471
m;150846;-82017;27339;64538
m;150857;-82032;27344;62949
m;150868;-82047;27349;63497
m;150880;-82062;27354;62900
m;150890;-82076;27358;65028
m;150901;-82092;27364;64745
m;150912;-82107;27369;63965
m;150922;-82122;27374;65207
m;150932;-82136;27378;65057
m;150944;-82152;27384;64047
m;150956;-82167;27389;65404
m;150967;-82182;27394;65166
m;150978;-82197;27399;65166
m;150988;-82211;27403;65536
m;151000;-82227;27409;65850
m;151010;-82242;27414;66905
m;151021;-82257;27419;68412
m;151032;-82272;27424;66978
m;151043;-82286;27428;66650
m;151054;-82302;27434;66775
m;151065;-82317;27439;65481
m;151076;-82332;27444;65644
m;151087;-82347;27449;66672
m;151097;-82361;27453;65991
m;151108;-82377;27459;64662
m;151119;-82392;27464;65364
m;151131;-82407;27469;66868
m;151142;-82422;27474;66656
m;151153;-82437;27479;66639
m;151163;-82451;27483;64814
m;151175;-82467;27489;63904
m;151185;-82482;27494;64198
m;151195;-82497;27499;64504
m;151206;-82512;27504;64620
m;151217;-82526;27508;64694
m;151229;-82542;27514;64014
m;151240;-82557;27519;63047
m;151251;-82572;27524;62589
m;151262;-82586;27528;62687
m;151273;-82602;27534;62981
m;151283;-82617;27539;63229
m;151294;-82632;27544;63276
m;151306;-82647;27549;62965
m;151316;-82661;27553;61869
m;151327;-82677;27559;62045
m;151339;-82692;27564;61303
m;151349;-82706;27568;61801
m;151360;-82722;27574;63092
m;151370;-82737;27579;62689
m;151382;-82752;27584;63181
m;151393;-82767;27589;63237
m;151403;-82781;27593;64431
m;151414;-82797;27599;63631
m;151426;-82812;27604;63566
m;151437;-82827;27609;62982
m;151447;-82841;27613;63343
m;151458;-82857;27619;64836
m;151470;-82872;27624;65136
m;151481;-82887;27629;65267
m;151491;-82901;27633;64987
m;151502;-82917;27639;65268
m;151514;-82932;27644;65210
m;151525;-82947;27649;64673
m;151535;-82961;27653;64050
m;151546;-82977;27659;63743
m;151558;-82992;27664;64002
m;151569;-83007;27669;64820
m;151579;-83021;27673;64588
m;151590;-83037;27679;64605
m;151602;-83052;27684;64774
m;151613;-83067;27689;65019
m;151623;-83081;27693;65052
m;151634;-83097;27699;66237
m;151646;-83112;27704;66499
m;151656;-83126;27708;65349
m;151668;-83142;27714;64993
m;151680;-83157;27719;65280
m;151691;-83172;27724;65044
m;151701;-83186;27728;65181
m;151712;-83202;27734;64654
m;151723;-83217;27739;64098
m;151733;-83232;27744;63150
m;151743;-83246;27748;61780
m;151755;-83262;27754;60449
m;151767;-83277;27759;59838
m;151778;-83292;27764;58394
m;151788;-83306;27768;57254
m;151799;-83322;27774;56331
m;151810;-83337;27779;55826
m;151820;-83352;27784;55621
m;151830;-83366;27788;56517
m;151842;-83382;27794;57696
m;151854;-83397;27799;56901
m;151865;-83412;27804;57037
m;151875;-83426;27808;57979
m;151886;-83442;27814;58301
m;151897;-83457;27819;60355
m;151907;-83472;27824;60586
m;151917;-83486;27828;60802
m;151929;-83502;27834;62264
m;151941;-83517;27839;62578
m;151952;-83532;27844;63420
m;151962;-83546;27848;64943
m;151973;-83562;27854;65157
m;151984;-83577;27859;66673
m;151994;-83591;27863;67831
m;152006;-83607;27869;67397
m;152017;-83622;27874;66354
m;152029;-83637;27879;66648
m;152040;-83652;27884;66222
m;152050;-83666;27888;66363
m;152061;-83682;27894;67041
m;152072;-83697;27899;68557
m;152082;-83712;27904;68480
m;152093;-83727;27909;66803
m;152103;-83741;27913;64728
