m;millis;step_ha;step_la;load
m;115879;-34032;11344;62225
m;115891;-34047;11349;64029
m;115902;-34062;11354;63164
m;115912;-34076;11358;62616
m;115923;-34092;11364;63290
m;115934;-34107;11369;63382
m;115944;-34121;11373;64360
m;115956;-34137;11379;64912
m;115968;-34152;11384;63701
m;115979;-34167;11389;62710
m;115990;-34182;11394;63822
m;116000;-34196;11398;63520
m;116012;-34212;11404;62983
m;116022;-34227;11409;64517
m;116033;-34242;11414;65928
m;116043;-34256;11418;65227
m;116056;-34272;11424;63385
m;116067;-34287;11429;62044
m;116078;-34302;11434;62951
m;116088;-34316;11438;63317
m;116100;-34332;11444;62522
m;116110;-34347;11449;62189
m;116121;-34362;11454;62479
m;116131;-34376;11458;62246
m;116144;-34392;11464;62655
m;116155;-34407;11469;62062
m;116166;-34422;11474;62249
m;116176;-34436;11478;61935
m;116188;-34452;11484;61970
m;116198;-34466;11488;64456
m;116209;-34482;11494;65060
m;116220;-34497;11499;64372
m;116232;-34512;11504;62905
m;116243;-34527;11509;63287
m;116253;-34541;11513;62964
m;116264;-34557;11519;62691
m;116275;-34572;11524;63205
m;116285;-34587;11529;63313
m;116295;-34601;11533;62747
m;116307;-34617;11539;63356
m;116319;-34632;11544;63745
m;116330;-34647;11549;64409
m;116340;-34661;11553;64188
m;116352;-34677;11559;64070
m;116362;-34692;11564;63639
m;116372;-34706;11568;64486
m;116383;-34722;11574;65065
m;116395;-34737;11579;64097
m;116406;-34752;11584;64980
m;116416;-34766;11588;64696
m;116427;-34782;11594;63191
m;116439;-34797;11599;62377
m;116450;-34812;11604;62200
m;116460;-34826;11608;61269
m;116471;-34842;11614;62105
m;116483;-34857;11619;62007
m;116494;-34872;11624;62593
m;116505;-34887;11629;63213
m;116516;-34902;11634;62783
m;116527;-34916;11638;62988
m;116538;-34932;11644;63314
m;116548;-34947;11649;62551
m;116558;-34962;11654;62501
m;116569;-34976;11658;63110
m;116581;-34992;11664;62531
m;116592;-35007;11669;61630
m;116602;-35021;11673;62165
m;116614;-35037;11679;62676
m;116625;-35052;11684;62553
m;116635;-35067;11689;62777
m;116645;-35081;11693;62410
m;116657;-35097;11699;62722
m;116668;-35112;11704;62478
m;116679;-35127;11709;61909
m;116689;-35141;11713;61200
m;116701;-35157;11719;61415
m;116712;-35172;11724;62004
m;116722;-35187;11729;61892
m;116732;-35201;11733;62672
m;116744;-35217;11739;63561
m;116755;-35232;11744;63507
m;116766;-35247;11749;62908
m;116776;-35261;11753;62494
m;116788;-35277;11759;61677
m;116799;-35292;11764;61741
m;116809;-35307;11769;60715
m;116819;-35322;11774;60570
m;116830;-35336;11778;59204
m;116842;-35352;11784;59550
m;116853;-35367;11789;59845
m;116865;-35382;11794;59943
m;116875;-35396;11798;60287
m;116886;-35412;11804;59790
m;116896;-35427;11809;60447
m;116907;-35442;11814;60168
m;116917;-35456;11818;59952
m;116929;-35472;11824;59398
m;116940;-35487;11829;59363
m;116952;-35502;11834;60322
m;116963;-35517;11839;59644
m;116973;-35531;11843;59735
m;116984;-35547;11849;59909
m;116995;-35562;11854;61023
m;117005;-35577;11859;61609
m;117015;-35591;11863;62061
m;117027;-35607;11869;62978
m;117039;-35622;11874;61874
m;117050;-35637;11879;61444
m;117060;-35651;11883;63981
m;117071;-35667;11889;65724
m;117082;-35682;11894;64272
m;117092;-35696;11898;63647
m;117104;-35712;11904;62923
m;117115;-35727;11909;63852
m;117127;-35742;11914;63818
m;117138;-35757;11919;65377
m;117148;-35771;11923;65084
m;117159;-35787;11929;63189
m;117170;-35802;11934;61117
m;117180;-35817;11939;60560
m;117190;-35831;11943;60358
m;117202;-35847;11949;59932
m;117214;-35862;11954;60102
m;117224;-35876;11958;61108
m;117235;-35892;11964;61746
m;117246;-35907;11969;61540
m;117257;-35922;11974;62521
m;117267;-35937;11979;62581
m;117277;-35951;11983;62970
m;117289;-35967;11989;62282
m;117301;-35982;11994;61569
m;117312;-35997;11999;61981
m;117322;-36011;12003;61595
m;117334;-36027;12009;61995
m;117344;-36042;12014;61947
m;117354;-36057;12019;60177
m;117364;-36071;12023;59923
m;117377;-36087;12029;60678
m;117388;-36102;12034;60510
m;117399;-36117;12039;60376
m;117409;-36131;12043;60120
m;117421;-36147;12049;61626
m;117430;-36161;12053;61358
m;117441;-36177;12059;61086
m;117451;-36192;12064;61698
m;117463;-36207;12069;61956
m;117473;-36221;12073;62282
m;117485;-36237;12079;61693
m;117496;-36252;12084;62215
m;117508;-36267;12089;62835
m;117518;-36281;12093;63512
m;117529;-36297;12099;63038
m;117539;-36312;12104;62720
m;117551;-36327;12109;62579
m;117561;-36341;12113;63136
m;117573;-36357;12119;63428
m;117584;-36372;12124;62507
m;117595;-36386;12128;61790
m;117606;-36402;12134;62563
m;117616;-36417;12139;62040
m;117626;-36432;12144;62339
m;117637;-36446;12148;62224
m;117649;-36462;12154;60709
m;117660;-36477;12159;62025
m;117670;-36491;12163;61611
m;117682;-36507;12169;60761
m;117693;-36522;12174;59900
m;117703;-36537;12179;58508
m;117713;-36552;12184;58772
m;117724;-36566;12188;58147
m;117736;-36582;12194;59120
m;117747;-36597;12199;59729
m;117758;-36612;12204;60073
m;117769;-36626;12208;61628
m;117780;-36642;12214;62067
m;117790;-36657;12219;61628
m;117800;-36671;12223;61335
m;117812;-36687;12229;61374
m;117823;-36702;12234;61813
m;117834;-36717;12239;62118
