m;millis;step_ha;step_la;load
m;156438;-89682;29894;68010
m;156448;-89697;29899;67257
m;156459;-89711;29903;66352
m;156471;-89727;29909;66258
m;156482;-89742;29914;64740
m;156493;-89757;29919;65614
m;156505;-89772;29924;66048
m;156515;-89786;29928;67572
m;156526;-89802;29934;66710
m;156536;-89817;29939;65007
m;156547;-89832;29944;65216
m;156557;-89846;29948;66493
m;156569;-89862;29954;68289
m;156580;-89877;29959;68402
m;156592;-89892;29964;67953
m;156602;-89906;29968;68538
m;156613;-89922;29974;68876
m;156623;-89937;29979;68834
m;156634;-89952;29984;69187
m;156645;-89967;29989;68514
m;156655;-89981;29993;68240
m;156667;-89997;29999;69842
m;156678;-90011;30003;70167
m;156689;-90027;30009;71800
m;156700;-90042;30014;73735
m;156710;-90057;30019;72311
m;156721;-90071;30023;71428
m;156732;-90087;30029;71241
m;156743;-90102;30034;70107
m;156754;-90117;30039;69401
m;156765;-90131;30043;68327
m;156776;-90147;30049;66822
m;156787;-90162;30054;68400
m;156797;-90177;30059;67716
m;156808;-90191;30063;67714
m;156819;-90207;30069;67023
m;156830;-90222;30074;65031
m;156841;-90237;30079;65739
m;156852;-90251;30083;66029
m;156863;-90267;30089;64932
m;156874;-90282;30094;67258
m;156884;-90297;30099;69607
m;156895;-90312;30104;69812
m;156905;-90326;30108;67621
m;156917;-90342;30114;65552
m;156929;-90357;30119;66037
m;156940;-90372;30124;67714
m;156950;-90386;30128;69368
m;156961;-90402;30134;71445
m;156972;-90417;30139;71965
m;156982;-90432;30144;69585
m;156992;-90446;30148;68367
m;157004;-90462;30154;68576
m;157016;-90477;30159;68043
m;157027;-90492;30164;68961
m;157037;-90506;30168;69021
m;157048;-90522;30174;69158
m;157060;-90537;30179;69345
m;157070;-90552;30184;70902
m;157080;-90567;30189;71175
m;157090;-90581;30193;71928
m;157103;-90597;30199;74599
m;157114;-90612;30204;73187
m;157125;-90627;30209;68166
m;157135;-90641;30213;64851
m;157147;-90657;30219;64752
m;157157;-90672;30224;66070
m;157167;-90687;30229;66990
m;157177;-90701;30233;67516
m;157190;-90717;30239;69983
m;157201;-90732;30244;73659
m;157211;-90746;30248;73394
m;157222;-90762;30254;71529
m;157234;-90777;30259;70639
m;157244;-90791;30263;72068
m;157255;-90807;30269;74654
m;157265;-90822;30274;75560
m;157277;-90837;30279;74368
m;157287;-90851;30283;73195
m;157299;-90867;30289;73719
m;157310;-90882;30294;73523
m;157321;-90896;30298;74047
m;157332;-90912;30304;72664
m;157342;-90927;30309;68862
m;157352;-90941;30313;69191
m;157365;-90957;30319;66889
m;157376;-90972;30324;65577
m;157387;-90987;30329;66379
m;157398;-91001;30333;66221
m;157409;-91017;30339;65987
m;157419;-91031;30343;66247
m;157430;-91047;30349;66725
m;157441;-91062;30354;67396
m;157452;-91077;30359;69858
m;157462;-91091;30363;68407
m;157474;-91107;30369;67383
m;157486;-91122;30374;68045
m;157497;-91137;30379;69167
m;157507;-91151;30383;67233
m;157518;-91167;30389;66055
m;157529;-91182;30394;67730
m;157539;-91196;30398;70610
m;157551;-91212;30404;71944
m;157562;-91227;30409;69431
m;157573;-91241;30413;70467
m;157584;-91257;30419;71210
m;157595;-91272;30424;73702
m;157605;-91287;30429;74634
m;157616;-91302;30434;74455
m;157626;-91316;30438;74201
m;157638;-91332;30444;74901
m;157649;-91347;30449;76068
m;157661;-91362;30454;75227
m;157671;-91376;30458;73548
m;157682;-91392;30464;74420
m;157692;-91407;30469;75510
m;157703;-91421;30473;74189
m;157715;-91437;30479;72553
m;157726;-91452;30484;72986
m;157737;-91467;30489;71899
m;157748;-91481;30493;69720
m;157759;-91497;30499;66548
m;157769;-91511;30503;65282
m;157780;-91527;30509;65049
m;157791;-91542;30514;63445
m;157801;-91557;30519;65233
m;157811;-91571;30523;66177
m;157824;-91587;30529;66039
m;157835;-91602;30534;67975
m;157846;-91617;30539;69813
m;157856;-91631;30543;71314
m;157868;-91647;30549;71060
m;157878;-91662;30554;70412
m;157888;-91676;30558;71747
m;157900;-91692;30564;73718
m;157912;-91707;30569;74320
m;157923;-91722;30574;72648
m;157933;-91736;30578;72096
m;157944;-91752;30584;72465
m;157955;-91767;30589;70517
m;157965;-91781;30593;68698
m;157976;-91797;30599;69512
m;157987;-91812;30604;68716
m;157998;-91826;30608;69210
m;158010;-91842;30614;69331
m;158021;-91857;30619;69451
m;158032;-91872;30624;69686
m;158043;-91886;30628;71615
m;158054;-91902;30634;72892
m;158064;-91917;30639;71363
m;158075;-91932;30644;72259
m;158086;-91946;30648;71217
m;158098;-91962;30654;70866
m;158109;-91977;30659;71099
m;158119;-91991;30663;72128
m;158131;-92007;30669;72333
m;158141;-92022;30674;69780
m;158151;-92037;30679;68651
m;158161;-92051;30683;68705
m;158174;-92067;30689;69684
m;158185;-92082;30694;70300
m;158195;-92096;30698;72398
m;158206;-92112;30704;73898
m;158218;-92127;30709;72717
m;158228;-92141;30713;68548
m;158239;-92157;30719;68270
m;158249;-92171;30723;71944
m;158262;-92187;30729;72760
m;158273;-92202;30734;73760
m;158284;-92217;30739;75450
m;158296;-92232;30744;74512
m;158306;-92246;30748;73950
m;158317;-92262;30754;74048
m;158327;-92277;30759;73410
m;158338;-92291;30763;70821
m;158350;-92307;30769;70614
m;158361;-92322;30774;68309
m;158372;-92337;30779;68161
m;158384;-92352;30784;68483
m;158394;-92366;30788;66837
m;158405;-92382;30794;65996
m;158415;-92397;30799;66268
m;158426;-92411;30803;69736
m;158438;-92427;30809;71382
m;158449;-92442;30814;72292
m;158460;-92457;30819;74301
m;158472;-92472;30824;74971
m;158482;-92486;30828;72667
m;158493;-92502;30834;71716
m;158503;-92517;30839;70813
m;158514;-92532;30844;68518
m;158524;-92546;30848;67821
m;158536;-92562;30854;67526
m;158547;-92577;30859;66135
m;158558;-92591;30863;65197
m;158569;-92607;30869;67009
m;158579;-92622;30874;67617
m;158589;-92637;30879;67181
m;158600;-92651;30883;66219
m;158612;-92667;30889;65990
m;158623;-92682;30894;66640
m;158633;-92696;30898;66746
m;158645;-92712;30904;67112
m;158656;-92727;30909;67519
m;158667;-92742;30914;67933
m;158678;-92756;30918;68423
m;158689;-92772;30924;67708
m;158700;-92787;30929;65077
m;158710;-92801;30933;65971
m;158723;-92817;30939;67542
m;158734;-92832;30944;68498
m;158744;-92846;30948;69152
m;158755;-92862;30954;69365
m;158766;-92877;30959;69400
m;158776;-92892;30964;70807
m;158787;-92907;30969;69574
m;158797;-92921;30973;68786
m;158810;-92937;30979;69482
m;158821;-92952;30984;69097
m;158832;-92967;30989;70193
m;158842;-92981;30993;70685
m;158854;-92997;30999;70091
m;158864;-93012;31004;69278
m;158874;-93026;31008;69199
m;158886;-93042;31014;68541
m;158898;-93057;31019;66065
m;158909;-93072;31024;64761
m;158920;-93087;31029;63801
m;158930;-93101;31033;63650
m;158942;-93117;31039;62378
m;158952;-93132;31044;61121
m;158962;-93146;31048;60661
m;158974;-93162;31054;60406
m;158986;-93177;31059;60215
m;158996;-93191;31063;59982
m;159007;-93207;31069;59623
m;159019;-93222;31074;59648
m;159029;-93236;31078;58798
m;159040;-93252;31084;59576
m;159050;-93267;31089;60864
m;159062;-93282;31094;61420
m;159072;-93296;31098;63391
m;159084;-93312;31104;63458
m;159095;-93327;31109;61849
m;159106;-93341;31113;61563
m;159117;-93357;31119;62427
m;159127;-93372;31124;61978
m;159137;-93386;31128;61860
m;159150;-93402;31134;62865
m;159160;-93416;31138;62193
m;159172;-93432;31144;63455
m;159183;-93447;31149;63802
m;159194;-93461;31153;63174
m;159205;-93477;31159;63262
m;159215;-93492;31164;63601
m;159225;-93507;31169;63514
m;159236;-93521;31173;63092
m;159248;-93537;31179;63505
m;159259;-93552;31184;63131
m;159269;-93566;31188;62700
m;159281;-93582;31194;62907
m;159292;-93597;31199;63140
m;159302;-93611;31203;62524
m;159313;-93627;31209;62576
m;159325;-93642;31214;61854
m;159335;-93656;31218;61884
m;159347;-93672;31224;62658
m;159358;-93687;31229;62953
m;159369;-93701;31233;61243
m;159380;-93717;31239;59584
m;159390;-93732;31244;59179
m;159400;-93747;31249;59091
m;159411;-93761;31253;59277
m;159423;-93777;31259;59800
m;159434;-93792;31264;59807
m;159444;-93806;31268;59598
m;159456;-93822;31274;59700
m;159467;-93837;31279;58805
m;159477;-93852;31284;58789
m;159488;-93866;31288;59233
m;159499;-93882;31294;59709
m;159510;-93897;31299;59998
m;159520;-93911;31303;60026
m;159533;-93927;31309;60579
m;159544;-93942;31314;59839
m;159554;-93956;31318;60175
m;159565;-93972;31324;60801
m;159576;-93987;31329;62344
m;159586;-94002;31334;62723
m;159596;-94016;31338;61996
m;159608;-94032;31344;63216
m;159620;-94047;31349;63205
m;159630;-94061;31353;62307
m;159641;-94077;31359;62294
m;159652;-94092;31364;62270
m;159663;-94107;31369;63292
m;159673;-94121;31373;63012
m;159685;-94137;31379;65378
m;159696;-94152;31384;67251
m;159707;-94166;31388;68076
m;159718;-94182;31394;66282
m;159729;-94197;31399;67347
m;159740;-94212;31404;67607
m;159751;-94226;31408;66718
m;159762;-94242;31414;66604
m;159773;-94257;31419;66403
m;159784;-94272;31424;66590
m;159795;-94286;31428;65380
m;159806;-94302;31434;67381
m;159817;-94317;31439;69025
m;159827;-94331;31443;69483
m;159839;-94347;31449;69789
m;159849;-94362;31454;69476
m;159859;-94377;31459;68794
m;159869;-94391;31463;68929
m;159882;-94407;31469;68011
m;159893;-94422;31474;68500
m;159903;-94436;31478;66727
m;159915;-94452;31484;66493
m;159925;-94467;31489;65509
m;159935;-94482;31494;63810
m;159945;-94496;31498;62970
m;159958;-94512;31504;61437
m;159969;-94527;31509;60220
m;159979;-94541;31513;58482
m;159990;-94557;31519;58454
m;160002;-94572;31524;58215
m;160012;-94586;31528;58529
m;160023;-94602;31534;58380
m;160033;-94617;31539;57586
m;160044;-94631;31543;57543
m;160056;-94647;31549;57713
m;160067;-94662;31554;57023
m;160078;-94677;31559;56529
m;160089;-94691;31563;56357
m;160100;-94707;31569;57050
m;160110;-94722;31574;57584
