m;millis;step_ha;step_la;load
m;242579;-207848;69282;55824
m;242590;-207863;69287;56631
m;242600;-207878;69292;56745
m;242611;-207893;69297;56407
m;242622;-207908;69302;57760
m;242633;-207923;69307;58121
m;242644;-207938;69312;58613
m;242656;-207953;69317;60148
m;242667;-207968;69322;59365
m;242677;-207982;69327;59445
m;242689;-207997;69332;60450
m;242700;-208012;69337;60932
m;242711;-208027;69342;61446
m;242722;-208042;69347;62964
m;242733;-208057;69352;62446
m;242743;-208072;69357;62326
m;242754;-208087;69362;63654
m;242765;-208102;69367;63292
m;242777;-208117;69372;61792
m;242788;-208132;69377;62266
m;242798;-208147;69382;62567
m;242808;-208162;69387;62600
m;242820;-208177;69392;62052
m;242831;-208192;69397;61974
m;242842;-208207;69402;61660
m;242853;-208222;69407;63373
m;242865;-208237;69412;63964
m;242875;-208252;69417;63377
m;242885;-208267;69422;63230
m;242896;-208282;69427;63848
m;242908;-208297;69432;62754
m;242919;-208312;69437;62178
m;242930;-208327;69442;63842
m;242941;-208342;69447;64089
m;242952;-208356;69452;62301
m;242963;-208371;69457;61077
m;242974;-208386;69462;60475
m;242985;-208401;69467;59098
m;242996;-208416;69472;59474
m;243006;-208431;69477;59180
m;243017;-208446;69482;59031
m;243028;-208461;69487;59123
m;243040;-208476;69492;59786
m;243051;-208491;69497;60028
m;243061;-208506;69502;59986
m;243072;-208521;69507;60012
m;243083;-208536;69512;59463
m;243094;-208551;69517;58593
m;243105;-208566;69522;58011
m;243117;-208581;69527;57796
m;243127;-208596;69532;57604
m;243137;-208611;69537;57517
m;243147;-208625;69541;56291
m;243159;-208640;69546;55832
m;243170;-208655;69551;55874
m;243180;-208670;69556;56449
m;243190;-208685;69561;56938
m;243202;-208700;69566;56960
m;243213;-208715;69571;56674
m;243224;-208730;69576;56307
m;243235;-208745;69581;57145
m;243246;-208760;69586;57781
m;243256;-208775;69591;56940
m;243266;-208790;69596;57073
m;243277;-208805;69601;57674
m;243289;-208820;69606;57990
m;243300;-208835;69611;58535
m;243311;-208850;69616;59531
m;243321;-208865;69621;60348
m;243332;-208880;69626;60014
m;243343;-208895;69631;59622
m;243354;-208910;69636;58872
m;243365;-208925;69641;58063
m;243377;-208940;69646;57909
m;243388;-208955;69651;57326
m;243398;-208970;69656;58071
m;243408;-208985;69661;58762
m;243420;-209000;69666;58672
m;243430;-209014;69671;59162
m;243441;-209029;69676;58555
m;243451;-209044;69681;57785
m;243462;-209059;69686;56423
m;243473;-209074;69691;55705
m;243484;-209089;69696;54896
