m;millis;step_ha;step_la;load
m;211354;-165014;55004;60950
m;211365;-165029;55009;62418
m;211377;-165044;55014;61830
m;211388;-165059;55019;60286
m;211399;-165074;55024;60039
m;211409;-165089;55029;61108
m;211420;-165104;55034;61426
m;211431;-165119;55039;61311
m;211442;-165134;55044;61604
m;211453;-165149;55049;61736
m;211465;-165164;55054;61827
m;211475;-165178;55059;61397
m;211486;-165193;55064;60837
m;211497;-165208;55069;60254
m;211509;-165223;55074;59039
m;211520;-165238;55079;60698
m;211530;-165253;55084;60755
m;211540;-165268;55089;60572
m;211552;-165283;55094;61073
m;211563;-165298;55099;61512
m;211574;-165313;55104;60982
m;211586;-165328;55109;60059
m;211597;-165343;55114;59116
m;211607;-165358;55119;58678
m;211617;-165373;55124;59093
m;211629;-165388;55129;59266
m;211640;-165403;55134;58971
m;211651;-165418;55139;59369
m;211662;-165433;55144;59519
m;211673;-165448;55149;58983
m;211683;-165463;55154;59998
m;211693;-165478;55159;60868
m;211704;-165493;55164;60647
m;211716;-165508;55169;60293
m;211727;-165523;55174;60522
m;211738;-165538;55179;61522
m;211748;-165553;55184;62501
m;211759;-165567;55189;62717
m;211770;-165582;55194;63214
m;211781;-165597;55199;63186
m;211791;-165612;55204;63011
m;211802;-165627;55209;62402
m;211813;-165642;55214;60794
m;211824;-165657;55219;61353
m;211835;-165672;55224;61194
m;211847;-165687;55229;60449
m;211858;-165702;55234;60450
m;211868;-165717;55239;61432
m;211878;-165732;55244;60376
m;211890;-165747;55249;59284
m;211901;-165762;55254;59095
m;211912;-165777;55259;59067
m;211923;-165792;55264;58474
m;211934;-165807;55269;57577
m;211944;-165822;55274;58349
m;211954;-165836;55278;57929
m;211965;-165851;55283;56955
m;211976;-165866;55288;58577
m;211986;-165881;55293;58573
m;211997;-165896;55298;58182
m;212008;-165911;55303;57967
m;212020;-165926;55308;57886
m;212031;-165941;55313;56946
m;212042;-165956;55318;56618
m;212052;-165971;55323;57492
m;212063;-165986;55328;57728
m;212074;-166001;55333;58434
m;212085;-166016;55338;58747
