m;millis;step_ha;step_la;load
m;136148;-61857;20619;65901
m;136160;-61872;20624;63455
m;136171;-61887;20629;60688
m;136181;-61901;20633;61463
m;136193;-61917;20639;61208
m;136203;-61932;20644;60913
m;136214;-61947;20649;59803
m;136224;-61961;20653;59568
m;136237;-61977;20659;60079
m;136248;-61992;20664;59616
m;136259;-62007;20669;60765
m;136269;-62022;20674;61010
m;136280;-62036;20678;60522
m;136291;-62052;20684;60168
m;136302;-62067;20689;60009
m;136313;-62082;20694;61190
m;136325;-62097;20699;60845
m;136335;-62111;20703;61473
m;136346;-62127;20709;61257
m;136357;-62142;20714;61525
m;136368;-62157;20719;62064
m;136378;-62172;20724;62585
m;136388;-62186;20728;62053
m;136400;-62202;20734;60843
m;136412;-62217;20739;60818
m;136423;-62232;20744;61168
m;136434;-62247;20749;61925
m;136445;-62262;20754;62129
m;136456;-62276;20758;61474
m;136467;-62292;20764;60793
m;136478;-62307;20769;60284
m;136488;-62321;20773;60045
m;136501;-62337;20779;61194
m;136512;-62352;20784;61602
m;136523;-62367;20789;60971
m;136535;-62382;20794;61220
m;136545;-62396;20798;61065
m;136556;-62412;20804;61771
m;136566;-62427;20809;60956
m;136578;-62442;20814;60960
m;136588;-62456;20818;62229
m;136600;-62472;20824;62973
m;136611;-62487;20829;63259
m;136623;-62502;20834;62179
m;136633;-62517;20839;61362
m;136643;-62532;20844;61727
m;136653;-62546;20848;61203
m;136666;-62562;20854;62262
m;136677;-62577;20859;62393
m;136688;-62592;20864;62283
m;136698;-62606;20868;61800
m;136710;-62622;20874;60810
m;136720;-62637;20879;61248
m;136730;-62652;20884;61656
m;136740;-62667;20889;62217
m;136751;-62681;20893;61349
m;136763;-62697;20899;60746
m;136774;-62712;20904;61308
m;136784;-62726;20908;61780
m;136796;-62742;20914;62124
m;136806;-62757;20919;61733
m;136816;-62772;20924;61602
m;136826;-62787;20929;62462
m;136837;-62801;20933;61580
m;136849;-62817;20939;60920
m;136860;-62832;20944;61778
m;136871;-62847;20949;62458
m;136883;-62862;20954;63161
m;136893;-62876;20958;63115
m;136904;-62892;20964;62111
m;136914;-62907;20969;61242
m;136926;-62922;20974;61248
m;136936;-62936;20978;60721
m;136948;-62952;20984;60002
m;136960;-62967;20989;59136
m;136971;-62982;20994;58032
m;136982;-62997;20999;57495
m;136992;-63012;21004;60217
m;137003;-63026;21008;62062
m;137015;-63042;21014;61537
m;137026;-63057;21019;59595
m;137037;-63072;21024;59415
m;137048;-63086;21028;58937
m;137059;-63102;21034;58522
m;137070;-63117;21039;60260
m;137080;-63131;21043;61863
m;137092;-63147;21049;63471
m;137102;-63162;21054;62973
m;137113;-63177;21059;62226
m;137124;-63192;21064;63038
m;137135;-63206;21068;63137
m;137146;-63222;21074;62782
m;137157;-63237;21079;62302
m;137167;-63252;21084;60801
m;137178;-63266;21088;62251
m;137189;-63282;21094;62644
m;137200;-63297;21099;61846
m;137211;-63312;21104;61134
m;137223;-63327;21109;61734
m;137233;-63341;21113;61822
m;137244;-63357;21119;59435
m;137254;-63371;21123;58408
m;137266;-63387;21129;58334
m;137276;-63402;21134;58764
m;137287;-63417;21139;58725
m;137298;-63432;21144;58226
m;137309;-63446;21148;59073
m;137320;-63462;21154;59880
m;137331;-63477;21159;59704
m;137341;-63491;21163;59690
m;137353;-63507;21169;60081
m;137363;-63522;21174;59774
m;137373;-63536;21178;59626
m;137385;-63552;21184;59070
m;137397;-63567;21189;60013
m;137408;-63582;21194;59456
m;137418;-63596;21198;58484
m;137430;-63612;21204;58929
m;137440;-63627;21209;59313
m;137450;-63642;21214;59389
m;137461;-63657;21219;58962
m;137472;-63671;21223;59169
m;137484;-63687;21229;59580
m;137495;-63702;21234;60451
m;137506;-63717;21239;60505
m;137517;-63731;21243;61431
m;137528;-63747;21249;61855
m;137538;-63762;21254;62178
m;137549;-63777;21259;63398
m;137560;-63791;21263;63128
m;137572;-63807;21269;63182
m;137583;-63822;21274;62812
m;137594;-63837;21279;62677
m;137605;-63851;21283;62985
m;137616;-63867;21289;62838
m;137626;-63882;21294;63098
m;137636;-63897;21299;63478
m;137647;-63911;21303;62516
m;137659;-63927;21309;63077
m;137670;-63942;21314;63188
m;137681;-63957;21319;62457
m;137693;-63972;21324;62454
m;137703;-63986;21328;61605
m;137714;-64002;21334;59928
m;137724;-64017;21339;59904
m;137736;-64032;21344;61201
m;137747;-64047;21349;63003
m;137758;-64062;21354;61837
m;137768;-64076;21358;61057
m;137780;-64092;21364;62143
m;137790;-64107;21369;62248
m;137800;-64122;21374;60558
m;137810;-64136;21378;60633
m;137823;-64152;21384;60208
m;137834;-64167;21389;59652
m;137845;-64182;21394;60780
m;137857;-64197;21399;60532
m;137868;-64212;21404;61422
m;137878;-64226;21408;61692
m;137889;-64242;21414;60756
m;137900;-64257;21419;60895
m;137911;-64272;21424;61086
m;137922;-64287;21429;61523
m;137932;-64301;21433;61048
m;137944;-64317;21439;60497
m;137955;-64332;21444;61485
m;137966;-64347;21449;63138
m;137976;-64362;21454;62351
m;137987;-64377;21459;62553
m;137997;-64391;21463;63183
m;138009;-64407;21469;63217
m;138020;-64422;21474;64277
m;138032;-64437;21479;64375
m;138043;-64452;21484;65122
m;138053;-64466;21488;66768
m;138064;-64482;21494;68040
m;138075;-64497;21499;67754
m;138086;-64512;21504;65862
m;138097;-64527;21509;65452
m;138108;-64542;21514;64044
m;138119;-64556;21518;65711
m;138130;-64572;21524;66750
m;138141;-64587;21529;66463
m;138151;-64602;21534;66035
m;138162;-64617;21539;65531
m;138172;-64631;21543;66464
m;138184;-64647;21549;66975
m;138195;-64662;21554;66147
m;138207;-64677;21559;66777
m;138218;-64692;21564;67024
m;138228;-64706;21568;65217
m;138240;-64722;21574;65384
m;138250;-64737;21579;65531
m;138260;-64752;21584;65234
m;138271;-64767;21589;64463
m;138283;-64782;21594;63869
m;138293;-64796;21598;63021
m;138304;-64812;21604;61151
m;138314;-64826;21608;60157
m;138326;-64842;21614;57862
m;138336;-64857;21619;57011
m;138346;-64872;21624;56829
m;138357;-64887;21629;56997
m;138369;-64902;21634;56642
m;138379;-64916;21638;57376
m;138390;-64932;21644;57400
m;138401;-64947;21649;58424
m;138412;-64962;21654;58824
m;138422;-64977;21659;58609
m;138432;-64992;21664;58891
m;138442;-65006;21668;59670
m;138455;-65022;21674;59169
m;138466;-65037;21679;59328
m;138477;-65052;21684;60412
m;138488;-65067;21689;60051
m;138498;-65081;21693;60764
m;138509;-65097;21699;61563
m;138519;-65112;21704;62466
m;138530;-65127;21709;61004
m;138542;-65142;21714;60835
m;138553;-65157;21719;60228
m;138563;-65171;21723;59628
m;138574;-65187;21729;60312
m;138586;-65202;21734;60509
m;138596;-65217;21739;60296
m;138606;-65232;21744;59354
m;138616;-65246;21748;59060
m;138629;-65262;21754;60182
m;138640;-65277;21759;59834
m;138651;-65292;21764;60152
m;138662;-65307;21769;60399
m;138674;-65322;21774;60234
m;138684;-65336;21778;60713
m;138695;-65352;21784;60149
m;138706;-65367;21789;60524
m;138717;-65381;21793;60171
m;138729;-65397;21799;60239
m;138740;-65412;21804;61524
m;138752;-65427;21809;61171
m;138763;-65442;21814;61348
m;138773;-65457;21819;61430
m;138783;-65471;21823;60788
m;138795;-65487;21829;59474
m;138806;-65502;21834;58942
m;138817;-65517;21839;59239
m;138827;-65531;21843;59833
m;138839;-65547;21849;60191
m;138850;-65562;21854;59461
m;138860;-65577;21859;58776
m;138870;-65592;21864;57804
m;138881;-65606;21868;57296
m;138893;-65622;21874;56600
m;138904;-65637;21879;57288
m;138915;-65652;21884;56050
m;138927;-65667;21889;55217
m;138938;-65682;21894;56115
m;138948;-65697;21899;56351
m;138958;-65711;21903;56217
m;138970;-65727;21909;56013
m;138981;-65742;21914;57711
m;138992;-65757;21919;57834
m;139002;-65771;21923;56960
m;139014;-65787;21929;57256
m;139025;-65802;21934;57685
m;139035;-65817;21939;58178
m;139045;-65831;21943;59116
m;139057;-65847;21949;59306
m;139068;-65862;21954;60484
m;139079;-65877;21959;60765
m;139089;-65891;21963;60879
m;139101;-65907;21969;62842
m;139112;-65922;21974;62914
m;139122;-65937;21979;61679
m;139132;-65952;21984;63361
m;139143;-65966;21988;64339
m;139155;-65982;21994;63063
m;139166;-65997;21999;61260
m;139176;-66011;22003;62515
m;139188;-66027;22009;63067
m;139199;-66042;22014;63347
m;139210;-66057;22019;62372
m;139220;-66072;22024;63329
m;139231;-66086;22028;64424
m;139243;-66102;22034;64980
m;139254;-66117;22039;66369
m;139266;-66132;22044;66749
