m;millis;step_ha;step_la;load
m;172335;-111488;37162;70902
m;172346;-111503;37167;74936
m;172357;-111518;37172;78431
m;172367;-111533;37177;80369
m;172378;-111548;37182;82528
m;172389;-111563;37187;84756
m;172400;-111578;37192;86363
m;172411;-111593;37197;87113
m;172423;-111608;37202;88119
m;172433;-111623;37207;89078
m;172443;-111638;37212;89701
m;172453;-111652;37217;90631
m;172465;-111667;37222;91138
m;172476;-111682;37227;91739
m;172486;-111697;37232;92700
m;172496;-111712;37237;93014
m;172508;-111727;37242;93249
m;172519;-111742;37247;93661
m;172530;-111757;37252;94497
m;172541;-111772;37257;95299
m;172553;-111787;37262;96120
m;172563;-111802;37267;97053
m;172573;-111817;37272;97315
m;172584;-111832;37277;97937
m;172596;-111847;37282;98125
m;172607;-111862;37287;98117
m;172618;-111877;37292;98510
m;172630;-111892;37297;99102
m;172640;-111907;37302;100492
m;172651;-111922;37307;100813
m;172662;-111937;37312;101607
m;172674;-111952;37317;102137
m;172684;-111966;37322;102637
m;172695;-111981;37327;103430
m;172706;-111996;37332;103631
m;172718;-112011;37337;104221
m;172729;-112026;37342;104762
m;172739;-112041;37347;105471
m;172750;-112056;37352;105482
m;172762;-112071;37357;106027
m;172773;-112086;37362;106947
m;172783;-112100;37366;107608
m;172794;-112115;37371;107630
m;172806;-112130;37376;107390
m;172817;-112145;37381;104645
m;172827;-112160;37386;96742
m;172837;-112175;37391;90423
m;172849;-112190;37396;86841
m;172860;-112205;37401;81377
m;172871;-112220;37406;77626
m;172882;-112235;37411;72183
m;172894;-112250;37416;68624
m;172904;-112265;37421;67685
m;172914;-112280;37426;67407
m;172925;-112295;37431;68292
m;172937;-112310;37436;69602
m;172948;-112325;37441;69638
m;172959;-112340;37446;68921
m;172971;-112355;37451;68573
m;172981;-112370;37456;66580
m;172991;-112384;37461;65522
m;173002;-112399;37466;66514
m;173014;-112414;37471;65964
m;173024;-112429;37476;66429
m;173034;-112444;37481;66602
m;173045;-112459;37486;67080
m;173057;-112474;37491;67818
m;173068;-112489;37496;68396
m;173079;-112504;37501;68295
m;173090;-112519;37506;67945
m;173101;-112534;37511;67898
m;173111;-112549;37516;67578
m;173122;-112564;37521;67885
m;173133;-112579;37526;67778
m;173145;-112594;37531;68579
m;173156;-112609;37536;68125
m;173167;-112624;37541;66391
m;173177;-112639;37546;67408
m;173188;-112654;37551;67552
m;173199;-112669;37556;67833
m;173210;-112684;37561;67292
m;173221;-112699;37566;66235
m;173233;-112714;37571;65371
m;173243;-112729;37576;63114
m;173253;-112744;37581;61392
m;173263;-112758;37586;60759
m;173275;-112773;37591;60553
m;173286;-112788;37596;60428
m;173296;-112803;37601;60417
m;173306;-112818;37606;60343
m;173318;-112833;37611;60487
m;173329;-112848;37616;60393
m;173340;-112863;37621;60143
m;173351;-112878;37626;60764
m;173362;-112893;37631;59475
m;173372;-112908;37636;58513
m;173383;-112923;37641;59112
m;173394;-112938;37646;59342
m;173406;-112953;37651;59358
m;173417;-112968;37656;59230
m;173427;-112983;37661;59013
m;173437;-112998;37666;58434
m;173449;-113013;37671;59614
m;173459;-113027;37675;60850
m;173469;-113042;37680;62531
m;173479;-113057;37685;62988
m;173490;-113072;37690;63452
m;173501;-113087;37695;64444
m;173512;-113102;37700;64593
m;173523;-113117;37705;65358
m;173535;-113132;37710;64350
m;173545;-113147;37715;63527
m;173555;-113162;37720;63743
m;173566;-113177;37725;64065
m;173578;-113192;37730;62999
m;173589;-113207;37735;61145
m;173600;-113222;37740;60839
m;173612;-113237;37745;61586
m;173622;-113252;37750;60532
m;173632;-113267;37755;59259
m;173643;-113282;37760;58000
m;173655;-113297;37765;57239
m;173666;-113312;37770;57524
m;173677;-113327;37775;58637
m;173687;-113342;37780;59371
m;173698;-113357;37785;59155
m;173708;-113372;37790;58687
m;173719;-113387;37795;58786
m;173729;-113401;37800;58706
m;173740;-113416;37805;58725
m;173750;-113431;37810;58664
m;173761;-113446;37815;60006
m;173772;-113461;37820;61341
m;173784;-113476;37825;61207
m;173795;-113491;37830;61596
m;173806;-113506;37835;61228
m;173816;-113521;37840;61030
m;173827;-113536;37845;60824
m;173838;-113551;37850;60978
m;173849;-113566;37855;61229
m;173860;-113581;37860;61163
m;173872;-113596;37865;61168
m;173883;-113611;37870;61664
m;173893;-113626;37875;60976
m;173903;-113641;37880;60066
m;173915;-113656;37885;60155
m;173926;-113671;37890;59352
m;173937;-113686;37895;58635
m;173948;-113701;37900;57632
m;173959;-113716;37905;57601
m;173969;-113731;37910;57742
m;173980;-113746;37915;58356
m;173991;-113761;37920;57940
m;174002;-113775;37925;58476
m;174012;-113790;37930;58850
m;174022;-113805;37935;59152
m;174033;-113820;37940;59093
