m;millis;step_ha;step_la;load
m;180131;-122180;40726;59167
m;180143;-122195;40731;58948
m;180153;-122210;40736;59532
m;180163;-122225;40741;58413
m;180174;-122240;40746;58143
m;180186;-122255;40751;58443
m;180197;-122270;40756;58412
m;180208;-122285;40761;59598
m;180219;-122300;40766;59473
m;180230;-122315;40771;59546
m;180240;-122330;40776;61684
m;180251;-122345;40781;61102
m;180262;-122360;40786;60281
m;180274;-122375;40791;60369
m;180285;-122390;40796;60878
m;180295;-122405;40801;60154
m;180305;-122420;40806;61075
m;180317;-122435;40811;62182
m;180328;-122450;40816;61607
m;180339;-122465;40821;60744
m;180350;-122480;40826;61265
m;180362;-122495;40831;60867
m;180372;-122510;40836;62664
m;180382;-122525;40841;61999
m;180392;-122539;40846;61215
m;180404;-122554;40851;62778
m;180415;-122569;40856;62217
m;180425;-122584;40861;61891
m;180435;-122599;40866;61559
m;180447;-122614;40871;61834
m;180458;-122629;40876;61191
m;180469;-122644;40881;62229
m;180481;-122659;40886;61528
m;180491;-122674;40891;61428
m;180501;-122689;40896;61709
m;180512;-122704;40901;61751
m;180524;-122719;40906;63020
m;180535;-122734;40911;63295
m;180546;-122749;40916;63738
m;180557;-122764;40921;64616
m;180568;-122779;40926;64515
m;180578;-122794;40931;64506
m;180589;-122809;40936;64853
m;180600;-122824;40941;65778
m;180612;-122839;40946;64578
m;180623;-122854;40951;64050
m;180634;-122869;40956;62793
m;180644;-122884;40961;63165
m;180655;-122899;40966;63823
m;180665;-122913;40971;64386
m;180676;-122928;40976;63307
m;180686;-122943;40981;63973
m;180697;-122958;40986;64357
m;180708;-122973;40991;63639
m;180719;-122988;40996;63520
m;180730;-123003;41001;64154
m;180742;-123018;41006;63363
m;180752;-123033;41011;64016
m;180762;-123048;41016;63559
m;180773;-123063;41021;61917
m;180785;-123078;41026;61341
m;180796;-123093;41031;60697
m;180807;-123108;41036;59997
m;180818;-123123;41041;60649
m;180829;-123138;41046;62146
m;180839;-123153;41051;61480
m;180850;-123168;41056;61286
m;180860;-123182;41060;61332
m;180871;-123197;41065;60365
m;180881;-123212;41070;60626
m;180892;-123227;41075;61622
m;180903;-123242;41080;62042
m;180915;-123257;41085;62877
m;180926;-123272;41090;62413
m;180937;-123287;41095;62081
m;180947;-123302;41100;63082
m;180958;-123317;41105;63222
m;180969;-123332;41110;64990
m;180980;-123347;41115;64896
m;180992;-123362;41120;62906
m;181003;-123377;41125;63947
m;181013;-123392;41130;63592
m;181023;-123407;41135;62568
m;181035;-123422;41140;62386
m;181046;-123437;41145;61887
m;181057;-123452;41150;61652
m;181068;-123467;41155;61916
m;181080;-123482;41160;61944
m;181090;-123497;41165;62077
m;181100;-123512;41170;62419
m;181111;-123527;41175;62454
m;181123;-123542;41180;61655
m;181134;-123557;41185;61452
m;181144;-123571;41190;60117
m;181154;-123586;41195;61066
