m;millis;step_ha;step_la;load
m;123986;-45162;15054;61315
m;123998;-45177;15059;61217
m;124009;-45192;15064;61414
m;124019;-45206;15068;62002
m;124030;-45222;15074;63354
m;124041;-45237;15079;62222
m;124051;-45251;15083;63000
m;124062;-45267;15089;62994
m;124073;-45282;15094;62520
m;124085;-45297;15099;63608
m;124096;-45312;15104;63881
m;124106;-45326;15108;64109
m;124118;-45342;15114;63195
m;124129;-45357;15119;63333
m;124139;-45371;15123;63385
m;124150;-45387;15129;61994
m;124162;-45402;15134;61587
m;124173;-45417;15139;61572
m;124183;-45431;15143;61698
m;124194;-45447;15149;61658
m;124206;-45462;15154;62058
m;124217;-45477;15159;61282
m;124227;-45492;15164;60131
m;124237;-45506;15168;60051
m;124250;-45522;15174;59873
m;124261;-45537;15179;60550
m;124272;-45552;15184;60282
m;124282;-45566;15188;59679
m;124294;-45582;15194;60906
m;124305;-45597;15199;61300
m;124315;-45612;15204;61425
m;124325;-45626;15208;61623
m;124337;-45642;15214;62199
m;124348;-45657;15219;63740
m;124359;-45672;15224;63369
m;124369;-45686;15228;63464
m;124381;-45702;15234;63738
m;124392;-45717;15239;62090
m;124402;-45732;15244;61906
m;124412;-45747;15249;62064
m;124423;-45761;15253;62276
m;124435;-45777;15259;62287
m;124446;-45792;15264;61768
m;124457;-45807;15269;61441
m;124468;-45821;15273;60827
m;124479;-45837;15279;60074
m;124489;-45852;15284;59549
m;124499;-45867;15289;58660
m;124510;-45882;15294;58012
m;124520;-45896;15298;58299
m;124532;-45912;15304;57756
m;124544;-45927;15309;57497
m;124555;-45942;15314;58657
m;124565;-45956;15318;59564
m;124576;-45972;15324;59680
m;124587;-45987;15329;59987
m;124597;-46002;15334;60903
m;124607;-46016;15338;61316
m;124619;-46032;15344;62405
m;124631;-46047;15349;63188
m;124642;-46062;15354;62890
m;124652;-46076;15358;63299
m;124663;-46092;15364;62326
m;124674;-46107;15369;64559
m;124684;-46122;15374;65727
m;124694;-46136;15378;66297
m;124706;-46152;15384;66091
m;124718;-46167;15389;66597
m;124729;-46182;15394;67703
m;124740;-46197;15399;66221
m;124750;-46211;15403;66114
m;124762;-46227;15409;63986
m;124772;-46242;15414;63950
m;124782;-46256;15418;64909
m;124794;-46272;15424;64123
m;124806;-46287;15429;63634
m;124816;-46301;15433;62104
m;124827;-46317;15439;60643
m;124838;-46332;15444;61472
m;124849;-46347;15449;61755
m;124859;-46362;15454;61771
m;124869;-46376;15458;60785
m;124881;-46392;15464;61639
m;124893;-46407;15469;61729
m;124904;-46422;15474;61499
m;124915;-46437;15479;62522
m;124925;-46451;15483;63112
m;124937;-46467;15489;63747
m;124947;-46482;15494;64321
m;124957;-46497;15499;63400
m;124968;-46512;15504;63373
m;124980;-46527;15509;64549
m;124990;-46541;15513;64474
m;125001;-46557;15519;65493
m;125012;-46572;15524;65034
m;125023;-46587;15529;66448
m;125033;-46602;15534;66479
m;125043;-46616;15538;66160
m;125056;-46632;15544;67688
m;125067;-46647;15549;67805
m;125078;-46662;15554;66749
m;125088;-46676;15558;66534
m;125100;-46692;15564;68397
m;125110;-46707;15569;68908
m;125120;-46721;15573;68108
m;125131;-46737;15579;67110
m;125143;-46752;15584;67436
m;125154;-46767;15589;68250
m;125164;-46781;15593;67936
m;125175;-46797;15599;66974
m;125187;-46812;15604;66748
m;125198;-46827;15609;65573
m;125208;-46841;15613;65607
m;125219;-46857;15619;64463
m;125231;-46872;15624;64679
m;125242;-46887;15629;65157
m;125252;-46901;15633;65841
m;125263;-46917;15639;66127
m;125275;-46932;15644;65809
m;125286;-46947;15649;66996
m;125296;-46962;15654;66425
m;125306;-46976;15658;66791
m;125319;-46992;15664;67381
m;125330;-47007;15669;67590
m;125340;-47021;15673;66417
m;125351;-47037;15679;66455
m;125363;-47052;15684;67235
m;125374;-47067;15689;68127
m;125384;-47081;15693;69529
m;125395;-47097;15699;69042
m;125406;-47112;15704;67472
m;125417;-47127;15709;68002
m;125427;-47141;15713;67319
m;125440;-47157;15719;67942
m;125451;-47172;15724;67902
m;125462;-47187;15729;66051
m;125472;-47202;15734;67136
m;125483;-47216;15738;66214
m;125494;-47232;15744;64269
m;125505;-47247;15749;65766
m;125516;-47262;15754;66412
m;125527;-47276;15758;67025
m;125538;-47292;15764;66677
m;125549;-47307;15769;65886
m;125559;-47322;15774;66870
m;125570;-47337;15779;66266
m;125580;-47351;15783;65508
m;125592;-47367;15789;64334
m;125603;-47382;15794;64180
m;125615;-47397;15799;63919
m;125625;-47411;15803;64010
m;125636;-47427;15809;64972
m;125646;-47442;15814;64201
m;125657;-47457;15819;63927
m;125667;-47472;15824;63008
m;125677;-47486;15828;63343
m;125689;-47502;15834;63848
m;125701;-47517;15839;63199
m;125712;-47532;15844;63096
m;125723;-47547;15849;62601
m;125733;-47561;15853;62341
m;125745;-47577;15859;61321
m;125755;-47592;15864;59898
m;125766;-47607;15869;59088
m;125776;-47621;15873;58302
m;125789;-47637;15879;58373
m;125800;-47652;15884;59243
m;125811;-47667;15889;58843
m;125821;-47681;15893;57864
m;125833;-47697;15899;57845
m;125843;-47712;15904;58931
m;125854;-47727;15909;58935
m;125864;-47741;15913;59347
m;125877;-47757;15919;60063
m;125888;-47772;15924;60257
m;125899;-47787;15929;59811
m;125910;-47801;15933;60401
m;125921;-47817;15939;60732
m;125931;-47832;15944;61422
m;125941;-47847;15949;62647
m;125952;-47861;15953;63134
m;125964;-47877;15959;63546
m;125975;-47892;15964;64309
m;125985;-47906;15968;64119
m;125997;-47922;15974;63589
m;126007;-47937;15979;63076
m;126017;-47952;15984;64811
m;126027;-47966;15988;67613
m;126040;-47982;15994;69130
m;126051;-47997;15999;69301
m;126062;-48012;16004;67283
m;126072;-48026;16008;67070
m;126084;-48042;16014;64233
m;126094;-48057;16019;61713
m;126104;-48072;16024;60258
m;126114;-48087;16029;59397
m;126126;-48102;16034;59891
m;126137;-48117;16039;60491
m;126147;-48131;16043;61708
m;126158;-48147;16049;62151
m;126170;-48162;16054;61825
m;126180;-48177;16059;62698
m;126190;-48192;16064;63144
m;126200;-48206;16068;64647
m;126213;-48222;16074;65194
m;126224;-48237;16079;65377
m;126235;-48252;16084;65974
m;126245;-48266;16088;66442
m;126257;-48282;16094;66313
m;126268;-48297;16099;67334
m;126278;-48312;16104;66355
m;126288;-48327;16109;65614
m;126299;-48341;16113;66110
m;126311;-48357;16119;65500
m;126322;-48372;16124;65183
m;126332;-48386;16128;63924
m;126344;-48402;16134;62610
m;126355;-48417;16139;61784
m;126365;-48432;16144;62490
m;126375;-48446;16148;62306
m;126388;-48462;16154;60705
m;126399;-48477;16159;60696
m;126409;-48491;16163;60474
m;126420;-48507;16169;60069
m;126432;-48522;16174;59075
m;126443;-48537;16179;59285
m;126453;-48552;16184;59311
m;126464;-48566;16188;58838
m;126475;-48582;16194;59133
m;126486;-48597;16199;58689
m;126497;-48612;16204;58739
m;126508;-48626;16208;58534
m;126519;-48642;16214;58584
m;126530;-48657;16219;58125
m;126540;-48672;16224;58521
m;126551;-48687;16229;58291
m;126561;-48701;16233;58083
m;126573;-48717;16239;58167
m;126584;-48732;16244;58494
m;126596;-48747;16249;58758
m;126607;-48762;16254;59300
