m;millis;step_ha;step_la;load
m;246481;-213202;71067;56883
m;246493;-213217;71072;57100
m;246504;-213232;71077;57221
m;246515;-213247;71082;58134
m;246526;-213262;71087;57642
m;246537;-213277;71092;57346
m;246547;-213292;71097;57535
m;246558;-213307;71102;57765
m;246569;-213322;71107;57637
m;246581;-213337;71112;57581
m;246592;-213352;71117;58661
m;246602;-213367;71122;60377
m;246612;-213382;71127;59958
m;246624;-213397;71132;59649
m;246635;-213412;71137;60581
m;246646;-213427;71142;61415
m;246658;-213442;71147;60296
m;246669;-213457;71152;59717
m;246679;-213471;71157;60502
m;246690;-213486;71162;59701
m;246702;-213501;71167;60734
m;246713;-213516;71172;61306
m;246723;-213531;71177;61876
m;246733;-213546;71182;61727
m;246745;-213561;71187;60417
m;246756;-213576;71192;60870
m;246767;-213591;71197;62673
m;246778;-213606;71202;62073
m;246789;-213621;71207;62485
m;246799;-213636;71212;61788
m;246810;-213651;71217;60515
m;246821;-213666;71222;59609
m;246833;-213681;71227;58094
m;246844;-213696;71232;57473
m;246855;-213711;71237;57303
m;246865;-213726;71242;57404
m;246876;-213740;71246;57798
m;246887;-213755;71251;57968
m;246898;-213770;71256;57844
m;246908;-213785;71261;58494
m;246919;-213800;71266;58748
m;246930;-213815;71271;58270
m;246941;-213830;71276;58338
m;246952;-213845;71281;57795
m;246964;-213860;71286;57678
m;246975;-213875;71291;57648
m;246985;-213890;71296;58997
m;246995;-213905;71301;59863
m;247007;-213920;71306;59336
m;247018;-213935;71311;59616
m;247029;-213950;71316;60683
m;247041;-213965;71321;59710
m;247051;-213980;71326;59011
m;247061;-213995;71331;59635
m;247071;-214010;71336;59139
m;247083;-214025;71341;58690
m;247094;-214040;71346;58968
m;247105;-214055;71351;59693
m;247116;-214070;71356;59722
m;247127;-214085;71361;59482
m;247137;-214100;71366;59780
m;247147;-214114;71371;59194
m;247158;-214129;71376;59728
m;247170;-214144;71381;60242
m;247180;-214159;71386;59867
m;247190;-214174;71391;59827
m;247201;-214189;71396;58933
m;247213;-214204;71401;58970
m;247224;-214219;71406;58371
m;247235;-214234;71411;58193
m;247245;-214249;71416;57608
m;247256;-214264;71421;58268
m;247267;-214279;71426;58374
m;247278;-214294;71431;57821
m;247289;-214309;71436;58259
m;247301;-214324;71441;57628
m;247312;-214339;71446;58318
m;247322;-214354;71451;59594
m;247332;-214369;71456;58859
m;247344;-214384;71461;58195
m;247355;-214399;71466;58446
m;247366;-214414;71471;57992
m;247377;-214429;71476;58977
m;247389;-214444;71481;59456
m;247399;-214459;71486;59398
m;247409;-214474;71491;60103
m;247419;-214488;71496;60628
m;247431;-214503;71501;62093
m;247441;-214518;71506;62124
m;247451;-214533;71511;61814
m;247462;-214548;71516;62237
m;247474;-214563;71521;61700
m;247485;-214578;71526;60856
m;247496;-214593;71531;60163
m;247506;-214608;71536;60950
m;247517;-214623;71541;60945
m;247528;-214638;71546;59678
m;247539;-214653;71551;59224
m;247550;-214668;71556;60482
m;247562;-214683;71561;60795
m;247573;-214698;71566;59357
m;247583;-214713;71571;59484
m;247595;-214728;71576;59565
m;247606;-214743;71581;59057
m;247616;-214757;71585;57354
m;247626;-214772;71590;58215
m;247636;-214787;71595;57964
m;247648;-214802;71600;57885
m;247659;-214817;71605;58118
m;247670;-214832;71610;58388
m;247682;-214847;71615;59130
m;247692;-214862;71620;59656
m;247702;-214877;71625;60030
m;247713;-214892;71630;58536
m;247725;-214907;71635;58320
m;247736;-214922;71640;58250
m;247747;-214937;71645;58947
m;247758;-214952;71650;58408
m;247769;-214967;71655;57770
m;247779;-214982;71660;58731
m;247790;-214997;71665;58645
m;247801;-215012;71670;59389
m;247813;-215027;71675;59714
m;247824;-215042;71680;59114
m;247835;-215057;71685;58844
m;247845;-215072;71690;59203
m;247856;-215087;71695;59638
m;247867;-215102;71700;59869
m;247877;-215116;71705;59513
m;247887;-215131;71710;58828
m;247898;-215146;71715;58814
m;247909;-215161;71720;59286
m;247920;-215176;71725;58582
m;247931;-215191;71730;58564
m;247943;-215206;71735;57562
m;247954;-215221;71740;57528
m;247964;-215236;71745;57894
m;247974;-215251;71750;57887
m;247986;-215266;71755;58786
m;247997;-215281;71760;58108
m;248008;-215296;71765;57308
