m;millis;step_ha;step_la;load
m;160494;-95247;31749;57293
m;160505;-95262;31754;56614
m;160517;-95277;31759;56754
m;160527;-95291;31763;55825
m;160538;-95307;31769;55610
m;160548;-95322;31774;56268
m;160559;-95337;31779;56606
m;160569;-95351;31783;56470
m;160581;-95367;31789;55339
m;160592;-95382;31794;54915
m;160603;-95396;31798;55925
m;160614;-95412;31804;55688
m;160625;-95427;31809;57388
m;160635;-95441;31813;59105
m;160647;-95457;31819;60731
m;160657;-95472;31824;61556
m;160667;-95486;31828;62242
m;160679;-95502;31834;63239
m;160691;-95517;31839;64349
m;160701;-95531;31843;66151
m;160712;-95547;31849;64779
m;160723;-95562;31854;65859
m;160734;-95577;31859;66367
m;160744;-95591;31863;68165
m;160756;-95607;31869;66153
m;160768;-95622;31874;66883
m;160778;-95636;31878;66366
m;160789;-95652;31884;67857
m;160800;-95667;31889;67479
m;160811;-95681;31893;67820
m;160822;-95697;31899;68838
m;160832;-95712;31904;68477
m;160842;-95727;31909;69830
m;160852;-95741;31913;71757
m;160865;-95757;31919;72450
m;160876;-95772;31924;70126
m;160886;-95786;31928;70268
m;160898;-95802;31934;71211
m;160908;-95817;31939;72780
m;160918;-95832;31944;74028
m;160928;-95846;31948;73773
m;160940;-95861;31953;72725
m;160952;-95877;31959;72422
m;160963;-95892;31964;71705
m;160974;-95907;31969;70468
m;160985;-95921;31973;69314
m;160996;-95937;31979;69396
m;161006;-95952;31984;69513
m;161016;-95966;31988;70814
m;161029;-95982;31994;71117
m;161040;-95997;31999;71930
m;161051;-96012;32004;72138
m;161061;-96026;32008;70161
m;161073;-96042;32014;69018
m;161084;-96057;32019;68629
m;161094;-96072;32024;70019
m;161104;-96087;32029;70622
m;161115;-96101;32033;70539
m;161127;-96117;32039;71917
m;161138;-96132;32044;73290
m;161149;-96147;32049;73633
m;161161;-96162;32054;71402
m;161171;-96176;32058;72073
m;161182;-96192;32064;70242
m;161192;-96207;32069;71725
m;161204;-96222;32074;74394
m;161215;-96237;32079;75666
m;161225;-96251;32083;73888
m;161236;-96267;32089;73569
m;161248;-96282;32094;73889
m;161259;-96297;32099;71617
m;161269;-96311;32103;70983
m;161281;-96327;32109;72828
m;161291;-96342;32114;71590
m;161302;-96357;32119;68204
m;161313;-96372;32124;67692
m;161324;-96386;32128;68743
m;161335;-96402;32134;69782
m;161346;-96417;32139;70275
m;161356;-96432;32144;70463
m;161367;-96446;32148;69570
m;161378;-96462;32154;68969
