m;152378;-84117;28039;67428
m;152389;-84132;28044;67106
m;152400;-84147;28049;66391
m;152411;-84161;28053;63853
m;152422;-84177;28059;62391
m;152432;-84192;28064;62511
m;152442;-84206;28068;61376
m;152455;-84222;28074;61385
m;152466;-84237;28079;60502
m;152477;-84252;28084;60830
m;152487;-84266;28088;60489
m;152499;-84282;28094;60653
m;152510;-84297;28099;60400
m;152520;-84312;28104;60516
m;152530;-84327;28109;59944
m;152541;-84341;28113;59609
m;152553;-84357;28119;59701
m;152564;-84372;28124;60641
m;152574;-84386;28128;60417
m;152586;-84402;28134;61624
m;152597;-84417;28139;60616
m;152607;-84432;28144;60735
m;152617;-84446;28148;61100
m;152630;-84462;28154;60651
m;152641;-84477;28159;61850
m;152652;-84492;28164;61821
m;152663;-84506;28168;61981
m;152674;-84522;28174;60939
m;152685;-84537;28179;61510
m;152695;-84552;28184;60784
m;152706;-84567;28189;60399
m;152716;-84581;28193;60259
m;152728;-84597;28199;59510
m;152739;-84612;28204;58638
m;152751;-84627;28209;58900
m;152761;-84641;28213;60344
m;152772;-84657;28219;59913
m;152782;-84672;28224;59909
m;152793;-84686;28228;59835
m;152804;-84702;28234;60502
m;152815;-84717;28239;60821
m;152826;-84732;28244;62384
m;152838;-84747;28249;63709
m;152848;-84761;28253;62644
m;152859;-84777;28259;63326
m;152869;-84792;28264;63221
m;152880;-84807;28269;64173
m;152890;-84822;28274;65074
m;152900;-84836;28278;65723
m;152912;-84852;28284;65490
m;152924;-84867;28289;65697
m;152934;-84881;28293;66121
m;152945;-84897;28299;65789
m;152955;-84912;28304;65258
m;152966;-84927;28309;66046
m;152976;-84941;28313;64458
m;152988;-84957;28319;64168
m;152999;-84972;28324;64315
m;153011;-84987;28329;64731
m;153022;-85002;28334;65066
m;153033;-85017;28339;64193
m;153043;-85031;28343;64418
m;153055;-85047;28349;63180
m;153065;-85062;28354;63790
m;153075;-85076;28358;63435
m;153088;-85092;28364;63137
m;153099;-85107;28369;64126
m;153110;-85122;28374;65422
m;153120;-85136;28378;67885
m;153132;-85152;28384;67706
m;153142;-85167;28389;66398
m;153152;-85182;28394;67686
m;153163;-85197;28399;68661
m;153174;-85211;28403;68393
m;153186;-85227;28409;66476
m;153197;-85242;28414;65164
m;153208;-85257;28419;63061
m;153219;-85271;28423;62767
m;153230;-85287;28429;63334
m;153240;-85302;28434;62778
m;153251;-85317;28439;60614
m;153263;-85332;28444;59382
m;153273;-85346;28448;58656
m;153284;-85362;28454;58380
m;153295;-85377;28459;57336
m;153307;-85392;28464;57183
m;153317;-85406;28468;58525
m;153328;-85422;28474;57887
m;153339;-85437;28479;57447
m;153350;-85451;28483;57456
m;153362;-85467;28489;56987
m;153373;-85482;28494;55958
m;153384;-85497;28499;56760
m;153395;-85511;28503;57185
m;153406;-85527;28509;58542
m;153416;-85542;28514;58682
m;153426;-85557;28519;59851
m;153437;-85571;28523;59485
m;153449;-85587;28529;60488
m;153460;-85602;28534;60253
m;153470;-85616;28538;60337
m;153482;-85632;28544;61023
m;153492;-85647;28549;61055
m;153502;-85662;28554;61511
m;153512;-85676;28558;60804
m;153525;-85692;28564;60650
m;153536;-85707;28569;59947
m;153547;-85722;28574;59935
m;153558;-85736;28578;61663
m;153569;-85752;28584;60934
m;153579;-85767;28589;60152
m;153589;-85781;28593;60513
m;153601;-85797;28599;61864
m;153612;-85812;28604;62740
m;153623;-85827;28609;61127
m;153634;-85842;28614;61434
m;153645;-85856;28618;62020
m;153656;-85872;28624;61844
m;153667;-85887;28629;62627
m;153677;-85902;28634;62052
m;153688;-85917;28639;61016
m;153698;-85931;28643;61487
m;153710;-85947;28649;60517
m;153721;-85962;28654;59809
m;153733;-85977;28659;60873
m;153744;-85992;28664;61782
m;153754;-86006;28668;62699
m;153765;-86022;28674;63113
m;153776;-86037;28679;61862
m;153787;-86052;28684;62146
m;153797;-86066;28688;63548
m;153809;-86082;28694;62161
m;153821;-86097;28699;61483
m;153831;-86111;28703;61543
m;153842;-86127;28709;61248
m;153852;-86142;28714;62595
m;153863;-86157;28719;63477
m;153873;-86171;28723;63317
m;153885;-86187;28729;63945
m;153896;-86202;28734;64259
m;153908;-86217;28739;65975
m;153919;-86232;28744;66701
m;153929;-86246;28748;67032
m;153940;-86262;28754;68046
m;153951;-86277;28759;67873
m;153961;-86292;28764;66541
m;153972;-86307;28769;66528
m;153982;-86321;28773;67299
m;153995;-86337;28779;66518
m;154005;-86351;28783;65987
m;154016;-86367;28789;66348
m;154027;-86382;28794;67113
m;154037;-86397;28799;69543
m;154047;-86411;28803;71719
m;154059;-86427;28809;68708
m;154071;-86442;28814;67015
m;154082;-86457;28819;68904
m;154093;-86472;28824;72801
m;154104;-86487;28829;72895
m;154115;-86502;28834;72115
m;154125;-86516;28838;73358
m;154136;-86532;28844;74925
m;154147;-86547;28849;74413
m;154159;-86562;28854;74692
m;154170;-86577;28859;72668
m;154180;-86591;28863;69809
m;154191;-86607;28869;69497
m;154203;-86622;28874;69930
m;154213;-86637;28879;68952
m;154223;-86651;28883;68730
m;154235;-86667;28889;69825
m;154247;-86682;28894;69075
m;154258;-86697;28899;68685
m;154269;-86712;28904;70365
m;154279;-86726;28908;70707
m;154291;-86742;28914;70905
m;154301;-86757;28919;69078
