m;millis;step_ha;step_la;load
m;184036;-127535;42511;59954
m;184046;-127550;42516;61088
m;184056;-127565;42521;61530
m;184068;-127580;42526;61538
m;184079;-127595;42531;61564
m;184090;-127610;42536;60364
m;184101;-127625;42541;60179
m;184112;-127639;42546;60144
m;184123;-127654;42551;60191
m;184134;-127669;42556;60715
m;184145;-127684;42561;60840
m;184157;-127699;42566;61725
m;184167;-127714;42571;62054
m;184177;-127729;42576;62741
m;184188;-127744;42581;62349
m;184200;-127759;42586;61698
m;184211;-127774;42591;61608
m;184222;-127789;42596;62659
m;184232;-127804;42601;63460
m;184243;-127819;42606;63718
m;184254;-127834;42611;62491
m;184265;-127849;42616;61722
m;184276;-127864;42621;61375
m;184288;-127879;42626;61384
m;184299;-127894;42631;61842
m;184309;-127909;42636;61997
m;184320;-127924;42641;61651
m;184331;-127939;42646;62106
m;184342;-127954;42651;61915
m;184353;-127969;42656;61090
m;184365;-127984;42661;60895
m;184375;-127998;42666;60509
m;184386;-128013;42671;59579
m;184397;-128028;42676;60030
m;184409;-128043;42681;60227
m;184420;-128058;42686;59423
m;184430;-128073;42691;59154
m;184440;-128088;42696;60606
m;184452;-128103;42701;61070
m;184463;-128118;42706;62015
m;184474;-128133;42711;61611
m;184485;-128148;42716;61017
m;184496;-128163;42721;60235
m;184506;-128178;42726;59875
m;184517;-128193;42731;59852
m;184528;-128208;42736;59898
m;184540;-128223;42741;61118
m;184551;-128238;42746;61674
m;184561;-128253;42751;62242
m;184571;-128267;42755;62816
m;184583;-128282;42760;62910
m;184594;-128297;42765;62953
m;184605;-128312;42770;62665
m;184615;-128327;42775;63344
m;184626;-128342;42780;63340
m;184637;-128357;42785;64148
m;184648;-128372;42790;63381
m;184659;-128387;42795;63266
m;184671;-128402;42800;64010
m;184682;-128417;42805;64340
m;184692;-128432;42810;63297
m;184702;-128447;42815;63662
m;184714;-128462;42820;64466
m;184725;-128477;42825;64058
m;184736;-128492;42830;62980
m;184748;-128507;42835;62129
m;184758;-128522;42840;62215
m;184768;-128537;42845;62915
m;184778;-128552;42850;62091
m;184790;-128567;42855;61103
m;184801;-128582;42860;60597
m;184812;-128597;42865;60082
m;184823;-128612;42870;61024
m;184834;-128627;42875;61533
m;184844;-128642;42880;61375
m;184854;-128656;42885;62322
m;184865;-128671;42890;62318
m;184877;-128686;42895;61344
m;184887;-128701;42900;62984
m;184897;-128716;42905;63071
m;184908;-128731;42910;62629
m;184920;-128746;42915;62748
m;184931;-128761;42920;62351
m;184942;-128776;42925;61695
m;184952;-128791;42930;63454
m;184963;-128806;42935;64459
m;184973;-128821;42940;62971
m;184984;-128836;42945;62590
m;184995;-128851;42950;62784
m;185007;-128866;42955;62738
m;185018;-128881;42960;64042
m;185028;-128896;42965;64433
m;185038;-128911;42970;64827
m;185050;-128926;42975;65831
m;185061;-128941;42980;65677
m;185072;-128956;42985;66193
m;185083;-128971;42990;65697
m;185095;-128986;42995;64614
m;185105;-129001;43000;63590
m;185115;-129016;43005;62037
m;185125;-129030;43010;61974
m;185137;-129045;43015;62236
m;185147;-129060;43020;62182
m;185157;-129075;43025;62052
m;185168;-129090;43030;60924
m;185180;-129105;43035;60563
m;185191;-129120;43040;61207
m;185202;-129135;43045;60474
m;185213;-129150;43050;60292
m;185224;-129165;43055;59924
m;185235;-129180;43060;61228
m;185246;-129195;43065;61867
m;185257;-129210;43070;62091
m;185269;-129225;43075;62136
m;185280;-129240;43080;62170
m;185290;-129255;43085;61259
m;185300;-129270;43090;61732
m;185312;-129285;43095;61585
m;185322;-129299;43099;61389
m;185332;-129314;43104;61211
m;185342;-129329;43109;62037
m;185354;-129344;43114;61564
m;185365;-129359;43119;61455
m;185376;-129374;43124;61557
m;185388;-129389;43129;61208
m;185399;-129404;43134;61311
m;185409;-129419;43139;61063
m;185419;-129434;43144;59859
m;185431;-129449;43149;59293
m;185442;-129464;43154;58710
m;185453;-129479;43159;58807
m;185464;-129494;43164;58711
m;185475;-129509;43169;59136
m;185485;-129524;43174;60209
m;185495;-129539;43179;59671
m;185506;-129554;43184;59143
m;185518;-129569;43189;59039
m;185529;-129584;43194;58457
m;185540;-129599;43199;58743
m;185550;-129614;43204;59151
m;185561;-129629;43209;59379
m;185572;-129644;43214;59762
m;185583;-129659;43219;60729
m;185593;-129673;43224;62118
m;185604;-129688;43229;62396
m;185614;-129703;43234;62685
m;185625;-129718;43239;62702
m;185636;-129733;43244;62985
m;185648;-129748;43249;62813
m;185659;-129763;43254;63257
m;185669;-129778;43259;62742
m;185679;-129793;43264;61777
m;185690;-129808;43269;60009
m;185701;-129823;43274;60745
m;185712;-129838;43279;60675
m;185723;-129853;43284;60217
m;185735;-129868;43289;60927
m;185745;-129883;43294;61444
m;185755;-129898;43299;60966
m;185766;-129913;43304;60577
m;185778;-129928;43309;60980
m;185789;-129943;43314;61303
m;185800;-129958;43319;60757
m;185811;-129973;43324;60302
m;185822;-129988;43329;61516
m;185832;-130003;43334;61872
m;185843;-130018;43339;62126
m;185854;-130033;43344;61229
m;185866;-130048;43349;62433
m;185876;-130062;43354;62737
m;185886;-130077;43359;61523
m;185897;-130092;43364;61191
m;185909;-130107;43369;61124
m;185920;-130122;43374;60934
m;185931;-130137;43379;61157
m;185942;-130152;43384;61617
m;185952;-130167;43389;60864
m;185963;-130182;43394;61175
m;185974;-130197;43399;62031
m;185986;-130212;43404;62377
m;185997;-130227;43409;63408
m;186007;-130242;43414;63970
m;186017;-130257;43419;63887
m;186029;-130272;43424;63384
m;186040;-130287;43429;65417
m;186051;-130302;43434;64896
m;186062;-130317;43439;64710
m;186073;-130331;43443;64287
m;186084;-130346;43448;64378
m;186095;-130361;43453;64929
m;186106;-130376;43458;64204
m;186118;-130391;43463;63697
m;186128;-130406;43468;62667
m;186138;-130421;43473;62435
m;186149;-130436;43478;63893
m;186161;-130451;43483;63666
m;186172;-130466;43488;62930
m;186183;-130481;43493;63063
m;186193;-130496;43498;63163
m;186204;-130511;43503;62674
m;186214;-130526;43508;61911
m;186225;-130541;43513;60285
m;186236;-130556;43518;60606
m;186248;-130571;43523;61238
m;186259;-130586;43528;60597
m;186269;-130601;43533;61373
m;186279;-130616;43538;60518
m;186291;-130631;43543;59951
m;186302;-130646;43548;59279
m;186313;-130661;43553;58927
m;186324;-130676;43558;59586
m;186336;-130691;43563;60270
m;186346;-130705;43568;59793
m;186357;-130720;43573;59551
m;186369;-130735;43578;58650
m;186380;-130750;43583;59239
m;186390;-130765;43588;58773
m;186400;-130780;43593;58537
m;186411;-130795;43598;59051
m;186422;-130810;43603;58881
m;186433;-130825;43608;59467
m;186444;-130840;43613;59286
m;186456;-130855;43618;59640
m;186466;-130870;43623;59298
m;186476;-130885;43628;58503
m;186487;-130900;43633;59218
m;186499;-130915;43638;59247
m;186510;-130930;43643;60059
m;186521;-130945;43648;60069
m;186532;-130960;43653;59752
m;186543;-130975;43658;60659
m;186553;-130990;43663;60162
m;186564;-131005;43668;59442
m;186575;-131020;43673;58642
m;186587;-131035;43678;58438
m;186598;-131050;43683;58287
m;186609;-131065;43688;58097
m;186619;-131079;43693;58407
m;186631;-131094;43698;59885
m;186642;-131109;43703;60289
m;186653;-131124;43708;59258
m;186663;-131139;43713;59721
m;186674;-131154;43718;60030
m;186685;-131169;43723;61041
m;186696;-131184;43728;60151
m;186707;-131199;43733;59110
m;186719;-131214;43738;58290
m;186729;-131229;43743;57819
m;186739;-131244;43748;57263
m;186750;-131259;43753;58370
m;186762;-131274;43758;58585
m;186773;-131289;43763;58717
m;186784;-131304;43768;58926
m;186795;-131319;43773;58959
m;186805;-131334;43778;59721
m;186815;-131348;43782;60422
m;186826;-131363;43787;62015
m;186838;-131378;43792;61436
m;186848;-131393;43797;60775
m;186858;-131408;43802;61624
m;186869;-131423;43807;61707
m;186881;-131438;43812;61494
m;186892;-131453;43817;60888
m;186903;-131468;43822;60995
m;186913;-131483;43827;60995
m;186924;-131498;43832;61465
m;186934;-131513;43837;61694
m;186945;-131528;43842;60884
m;186956;-131543;43847;61444
m;186968;-131558;43852;61472
m;186979;-131573;43857;60876
m;186989;-131588;43862;60647
m;186999;-131603;43867;60056
m;187011;-131618;43872;60101
m;187022;-131633;43877;59786
m;187033;-131648;43882;60113
m;187044;-131663;43887;59626
m;187056;-131678;43892;59586
m;187066;-131693;43897;59726
m;187076;-131708;43902;60387
m;187086;-131722;43907;61527
m;187098;-131737;43912;61413
m;187108;-131752;43917;61152
m;187118;-131767;43922;60342
m;187129;-131782;43927;61430
m;187141;-131797;43932;60728
m;187152;-131812;43937;60768
m;187163;-131827;43942;61983
m;187174;-131842;43947;63201
m;187185;-131857;43952;63222
m;187195;-131872;43957;64218
m;187206;-131887;43962;64315
