m;millis;step_ha;step_la;load
m;89338;0;0;38306
m;89349;0;0;38346
m;89361;0;0;38372
m;89372;0;0;38390
m;89382;0;0;38362
m;89395;0;0;38230
m;89406;0;0;38341
m;89417;0;0;38280
m;89428;0;0;38399
m;89441;0;0;38262
m;89451;0;0;38299
m;89462;0;0;38403
m;89475;0;0;38338
m;89486;0;0;38456
m;89497;0;0;38282
m;89508;0;0;38421
m;89520;0;0;38305
m;89531;0;0;38360
m;89542;0;0;38475
m;89554;0;0;38344
m;89566;0;0;38374
m;89576;0;0;38313
m;89588;0;0;38461
m;89600;0;0;38350
m;89611;0;0;38347
m;89623;0;0;38370
m;89633;0;0;38350
m;89645;0;0;38369
m;89656;0;0;38256
m;89667;0;0;38466
m;89678;0;0;38406
m;89690;0;0;38448
m;89701;0;0;38406
m;89712;0;0;38427
m;89723;0;0;38440
m;89736;0;0;38278
m;89747;0;0;38410
m;89758;0;0;38331
m;89769;0;0;38362
m;89781;0;0;38355
m;89792;0;0;38221
m;89803;0;0;38374
m;89816;0;0;38260
m;89826;0;0;38383
m;89837;0;0;38225
m;89849;0;0;38302
m;89861;0;0;38328
m;89872;0;0;38328
m;89884;0;0;38417
m;89894;0;0;38311
m;89906;0;0;38451
m;89917;0;0;38347
m;89929;0;0;38422
m;89940;0;0;38445
m;89951;0;0;38338
m;89963;0;0;38419
m;89974;0;0;38309
m;89986;0;0;38362
m;89998;0;0;38349
m;90009;0;0;38420
m;90019;0;0;38309
m;90031;0;0;38337
m;90043;0;0;38351
m;90054;0;0;38302
m;90065;0;0;38442
m;90077;0;0;38322
m;90088;0;0;38353
m;90099;0;0;38278
m;90112;0;0;38311
m;90123;0;0;38386
m;90134;0;0;38267
m;90144;0;0;38432
m;90157;0;0;38423
m;90168;0;0;38440
m;90179;0;0;38401
m;90191;0;0;38328
m;90203;0;0;38385
m;90213;0;0;38333
m;90225;0;0;38466
m;90236;0;0;38277
m;90248;0;0;38397
m;90259;0;0;38390
m;90270;0;0;38383
m;90281;0;0;38367
m;90293;0;0;38318
m;90305;0;0;38483
m;90316;0;0;38314
m;90328;0;0;38433
m;90339;0;0;38379
m;90350;0;0;38371
m;90361;-2;0;38483
m;90374;-13;4;38308
m;90385;-24;8;38506
m;90395;-34;11;38687
m;90407;-45;15;38250
m;90419;-56;18;37779
m;90429;-66;22;38162
m;90440;-77;25;38567
m;90451;-88;29;38345
m;90464;-99;33;38621
m;90474;-109;36;38743
m;90485;-120;40;39040
m;90498;-131;43;39028
m;90509;-142;47;39082
m;90520;-153;51;39292
m;90530;-163;54;39593
m;90542;-174;58;39970
m;90553;-185;61;40093
m;90564;-196;65;40302
m;90575;-207;69;40532
m;90586;-217;72;40414
m;90598;-228;76;40731
m;90609;-239;79;40890
m;90620;-250;83;41073
m;90632;-261;87;41098
m;90643;-272;90;41285
m;90653;-282;94;41425
m;90664;-293;97;41397
m;90676;-304;101;41567
m;90687;-315;105;41724
m;90698;-326;108;41920
m;90710;-337;112;42006
m;90721;-348;116;42111
m;90732;-359;119;42378
m;90743;-370;123;42639
m;90755;-381;127;42756
m;90765;-391;130;42777
m;90776;-402;134;43133
m;90787;-413;137;43428
m;90799;-424;141;43795
m;90810;-435;145;43970
m;90821;-446;148;44142
m;90832;-457;152;44422
m;90844;-468;156;44660
