m;millis;step_ha;step_la;load
m;167791;-23769;6138;18219
m;167801;-23780;6134;18193
m;167813;-23792;6130;18252
m;167823;-23803;6126;17907
m;167835;-23815;6122;17944
m;167845;-23826;6119;18050
m;167857;-23838;6115;18002
m;167868;-23849;6111;18053
m;167879;-23861;6107;18104
m;167889;-23872;6103;18060
m;167902;-23884;6099;18037
m;167912;-23895;6096;18199
m;167923;-23907;6092;18134
m;167934;-23918;6088;18074
m;167945;-23929;6084;18176
m;167956;-23941;6080;18180
m;167967;-23952;6077;18188
m;167979;-23963;6073;18212
m;167990;-23975;6069;18112
m;168000;-23986;6065;17941
m;168011;-23998;6061;18123
m;168023;-24009;6058;18073
m;168033;-24020;6054;18029
m;168043;-24031;6050;18022
m;168054;-24043;6046;18139
m;168065;-24054;6043;18208
m;168076;-24065;6039;18075
m;168088;-24077;6035;18176
m;168098;-24088;6031;18136
m;168109;-24099;6028;18025
m;168119;-24110;6024;18080
m;168130;-24122;6020;18076
m;168140;-24133;6016;18026
m;168152;-24144;6013;17907
m;168163;-24155;6009;18020
m;168174;-24166;6005;18002
m;168186;-24178;6001;18035
m;168198;-24189;5998;18089
m;168209;-24200;5994;17968
m;168220;-24211;5990;18057
m;168231;-24222;5987;18080
m;168243;-24233;5983;18067
m;168255;-24245;5979;17968
m;168266;-24256;5975;18125
m;168278;-24267;5972;18140
m;168289;-24278;5968;18101
m;168300;-24289;5964;18201
m;168311;-24300;5961;18024
m;168323;-24311;5957;18152
m;168334;-24322;5953;18058
m;168345;-24333;5950;18068
m;168356;-24344;5946;18223
m;168368;-24355;5942;18203
m;168379;-24366;5939;18145
m;168389;-24377;5935;18010
m;168399;-24388;5931;18115
m;168411;-24399;5928;18074
m;168422;-24410;5924;18157
m;168433;-24421;5920;18085
m;168444;-24432;5917;17948
m;168456;-24443;5913;18159
m;168466;-24454;5909;18115
m;168477;-24465;5906;18197
m;168488;-24476;5902;18101
m;168500;-24487;5898;17999
m;168511;-24498;5895;17889
m;168522;-24509;5891;17926
m;168532;-24519;5888;18045
m;168544;-24530;5884;18139
m;168555;-24541;5880;18202
m;168566;-24552;5877;17971
m;168578;-24563;5873;18199
m;168589;-24574;5869;18398
m;168599;-24585;5866;18352
m;168609;-24595;5862;18158
m;168621;-24606;5859;18125
m;168632;-24617;5855;17997
m;168643;-24628;5851;17898
m;168654;-24639;5848;18202
m;168664;-24649;5844;17995
m;168675;-24660;5841;17815
m;168686;-24671;5837;18116
m;168697;-24682;5833;18315
m;168708;-24692;5830;18258
m;168719;-24703;5826;18005
m;168730;-24714;5823;18277
m;168740;-24724;5819;18327
m;168752;-24735;5816;18294
m;168763;-24746;5812;18128
m;168774;-24757;5808;18222
m;168784;-24767;5805;18020
m;168796;-24778;5801;18108
m;168807;-24789;5798;18317
m;168817;-24799;5794;17902
m;168828;-24810;5791;17941
m;168839;-24820;5787;18398
m;168850;-24831;5784;17944
m;168861;-24842;5780;18048
m;168871;-24852;5777;18175
m;168883;-24863;5773;18385
m;168893;-24873;5770;18169
m;168904;-24884;5766;17736
m;168915;-24895;5762;17925
m;168926;-24905;5759;18328
m;168937;-24916;5755;18613
m;168948;-24926;5752;18207
m;168960;-24937;5748;18042
m;168970;-24947;5745;17831
m;168981;-24958;5741;17996
m;168991;-24968;5738;18477
m;169004;-24979;5734;18378
m;169014;-24989;5731;17982
m;169025;-25000;5727;18035
m;169036;-25010;5724;18270
m;169048;-25021;5720;18121
m;169058;-25031;5717;17994
m;169069;-25042;5713;18059
m;169079;-25052;5710;18148
m;169092;-25063;5706;18275
m;169102;-25073;5703;18068
m;169113;-25084;5699;17953
m;169123;-25091;5697;18057
m;169135;-25091;5697;18116
m;169146;-25091;5697;18058
m;169157;-25091;5697;18052
m;169168;-25091;5697;18174
m;169179;-25091;5697;18081
m;169190;-25091;5697;18208
m;169201;-25091;5697;18105
m;169212;-25091;5697;18083
m;169223;-25091;5697;18076
m;169234;-25091;5697;17991
m;169244;-25091;5697;18093
m;169256;-25091;5697;18066
m;169267;-25091;5697;18069
m;169279;-25091;5697;18088
m;169289;-25091;5697;18171
m;169300;-25091;5697;18104
m;169312;-25091;5697;17992
m;169322;-25091;5697;17967
m;169334;-25091;5697;17958
m;169345;-25091;5697;18072
m;169356;-25091;5697;18023
m;169366;-25091;5697;18021
m;169377;-25091;5697;17999
m;169389;-25091;5697;18143
m;169400;-25091;5697;18161
m;169411;-25091;5697;18003
m;169422;-25091;5697;18025
m;169433;-25091;5697;17925
m;169444;-25091;5697;18121
m;169454;-25091;5697;18142
m;169466;-25091;5697;18024
m;169478;-25091;5697;18101
m;169488;-25091;5697;18092
m;169499;-25091;5697;18198
m;169509;-25091;5697;18074
m;169522;-25091;5697;18052
m;169532;-25091;5697;18116
m;169543;-25091;5697;18125
m;169553;-25091;5697;18126
m;169565;-25091;5697;17974
m;169576;-25091;5697;17928
m;169587;-25091;5697;17851
m;169598;-25091;5697;18121
m;169610;-25091;5697;18175
m;169621;-25091;5697;18070
m;169631;-25091;5697;17973
m;169643;-25091;5697;18016
m;169654;-25091;5697;18231
m;169665;-25091;5697;18010
m;169675;-25091;5697;17992
m;169687;-25091;5697;17994
m;169697;-25091;5697;18073
m;169709;-25091;5697;18132
m;169719;-25091;5697;18065
m;169732;-25091;5697;18141
m;169742;-25091;5697;18029
m;169753;-25091;5697;18105
m;169764;-25091;5697;18013
m;169775;-25091;5697;18037
m;169787;-25091;5697;17997
m;169797;-25091;5697;17954
m;169808;-25091;5697;18126
m;169819;-25091;5697;18079
m;169830;-25091;5697;18080
m;169841;-25091;5697;18157
m;169852;-25091;5697;18215
m;169863;-25091;5697;18265
m;169874;-25091;5697;18153
m;169884;-25091;5697;18026
m;169896;-25091;5697;18033
m;169908;-25091;5697;18137
m;169919;-25091;5697;17953
m;169930;-25091;5697;18113
m;169940;-25091;5697;18149
m;169952;-25091;5697;18016
m;169962;-25091;5697;18138
m;169974;-25091;5697;17974
m;169985;-25091;5697;18176
m;169997;-25091;5697;18045
m;170007;-25091;5697;18123
m;170018;-25091;5697;18108
m;170029;-25091;5697;18035
m;170040;-25091;5697;18246
m;170052;-25091;5697;18117
m;170062;-25091;5697;18129
m;170074;-25091;5697;18084
m;170084;-25097;5699;18228
m;170095;-25108;5702;18178
m;170106;-25118;5706;18031
m;170118;-25129;5709;18038
m;170128;-25139;5713;18049
m;170140;-25150;5716;18138
m;170150;-25160;5720;17995
m;170162;-25171;5723;18168
m;170172;-25181;5727;18166
m;170183;-25192;5730;17973
m;170193;-25202;5734;18004
m;170205;-25213;5737;17990
m;170216;-25223;5741;18021
m;170227;-25234;5744;18014
m;170240;-25245;5748;18200
m;170250;-25255;5751;18197
m;170261;-25266;5755;18189
m;170271;-25276;5758;18294
m;170283;-25287;5762;18154
m;170294;-25298;5766;18026
m;170304;-25308;5769;17956
m;170315;-25319;5773;17988
m;170328;-25330;5776;18023
m;170338;-25340;5780;17976
