m;millis;step_ha;step_la;load
m;119933;-39597;13199;61542
m;119944;-39611;13203;62317
m;119955;-39627;13209;62062
m;119966;-39642;13214;61515
m;119977;-39657;13219;61788
m;119988;-39671;13223;61882
m;119999;-39687;13229;62907
m;120010;-39702;13234;63002
m;120022;-39717;13239;64451
m;120032;-39731;13243;65039
m;120043;-39747;13249;65269
m;120054;-39762;13254;63441
m;120066;-39777;13259;63138
m;120077;-39792;13264;63957
m;120087;-39806;13268;64063
m;120098;-39822;13274;63221
m;120110;-39837;13279;63732
m;120120;-39851;13283;62193
m;120131;-39867;13289;61814
m;120142;-39882;13294;61053
m;120154;-39897;13299;60879
m;120165;-39912;13304;60788
m;120175;-39926;13308;59889
m;120186;-39942;13314;59347
m;120198;-39957;13319;58406
m;120208;-39972;13324;58400
m;120218;-39987;13329;58656
m;120228;-40001;13333;59536
m;120241;-40017;13339;58872
m;120252;-40032;13344;58170
m;120263;-40047;13349;58992
m;120274;-40062;13354;59119
m;120285;-40076;13358;59195
m;120296;-40092;13364;57834
m;120306;-40107;13369;57521
m;120316;-40122;13374;58050
m;120328;-40137;13379;58251
m;120338;-40151;13383;58780
m;120350;-40167;13389;60200
m;120361;-40182;13394;60639
m;120372;-40196;13398;59694
m;120383;-40212;13404;59985
m;120393;-40227;13409;60319
m;120403;-40242;13414;59801
m;120415;-40257;13419;59380
m;120425;-40271;13423;59755
m;120437;-40287;13429;59450
m;120449;-40302;13434;59445
m;120460;-40317;13439;60186
m;120470;-40331;13443;60183
m;120481;-40347;13449;59320
m;120492;-40362;13454;59944
m;120503;-40377;13459;59984
m;120514;-40392;13464;59271
m;120524;-40406;13468;59386
m;120536;-40422;13474;59070
m;120547;-40437;13479;58826
m;120558;-40452;13484;59558
m;120568;-40467;13489;59220
m;120579;-40481;13493;59356
m;120591;-40497;13499;60394
m;120602;-40512;13504;60645
m;120613;-40527;13509;60453
m;120624;-40541;13513;61043
m;120635;-40557;13519;60694
m;120646;-40572;13524;60859
m;120656;-40586;13528;61555
m;120668;-40602;13534;61545
m;120679;-40617;13539;61148
m;120690;-40632;13544;60056
m;120700;-40646;13548;60419
m;120712;-40662;13554;61461
m;120723;-40677;13559;60748
m;120734;-40692;13564;59666
m;120744;-40707;13569;60276
m;120755;-40722;13574;59195
m;120765;-40736;13578;59290
m;120777;-40752;13584;58713
m;120788;-40767;13589;58617
m;120800;-40782;13594;58271
m;120810;-40796;13598;58216
m;120821;-40812;13604;58906
m;120832;-40827;13609;59508
m;120842;-40842;13614;58996
m;120852;-40857;13619;58858
m;120863;-40872;13624;58719
m;120873;-40886;13628;59406
m;120886;-40902;13634;59605
m;120897;-40917;13639;59661
m;120908;-40932;13644;60187
m;120919;-40946;13648;60041
m;120930;-40962;13654;60350
m;120940;-40977;13659;61584
m;120951;-40992;13664;62420
m;120962;-41006;13668;62451
m;120974;-41022;13674;62199
m;120985;-41037;13679;62124
m;120996;-41052;13684;61609
m;121007;-41067;13689;61670
