m;millis;step_ha;step_la;load
m;195747;-143597;47865;56289
m;195758;-143612;47870;56498
m;195768;-143627;47875;56293
m;195779;-143642;47880;56451
m;195790;-143657;47885;55252
m;195802;-143672;47890;55196
m;195813;-143687;47895;55027
m;195823;-143702;47900;55374
m;195833;-143717;47905;56148
m;195844;-143732;47910;55434
m;195855;-143747;47915;54760
m;195866;-143762;47920;55144
m;195877;-143777;47925;54997
m;195889;-143792;47930;55009
m;195899;-143807;47935;55685
m;195909;-143822;47940;56467
m;195920;-143837;47945;55306
m;195932;-143852;47950;55501
m;195943;-143867;47955;55408
m;195953;-143881;47960;55442
m;195963;-143896;47965;56252
m;195975;-143911;47970;55748
m;195986;-143926;47975;55497
m;195997;-143941;47980;55386
m;196008;-143956;47985;55764
m;196019;-143971;47990;55012
m;196029;-143986;47995;53989
m;196040;-144001;48000;54105
m;196051;-144016;48005;54759
m;196063;-144031;48010;54654
m;196074;-144046;48015;54976
m;196085;-144061;48020;55879
m;196096;-144076;48025;55044
m;196106;-144091;48030;55611
m;196117;-144106;48035;55292
m;196128;-144121;48040;55948
m;196140;-144136;48045;56112
m;196151;-144151;48050;55453
m;196162;-144166;48055;55514
m;196172;-144181;48060;55854
m;196183;-144196;48065;56406
m;196194;-144211;48070;57385
m;196205;-144226;48075;57731
m;196216;-144241;48080;58034
m;196227;-144255;48085;58269
m;196238;-144270;48090;57562
m;196249;-144285;48095;57757
m;196260;-144300;48100;59228
m;196272;-144315;48105;59421
m;196283;-144330;48110;59397
m;196293;-144345;48115;58341
m;196303;-144360;48120;58957
m;196315;-144375;48125;59102
m;196326;-144390;48130;57369
m;196337;-144405;48135;57562
m;196348;-144420;48140;57635
m;196359;-144435;48145;57741
m;196369;-144450;48150;56743
m;196380;-144465;48155;56244
m;196391;-144480;48160;56045
m;196403;-144495;48165;54717
m;196414;-144510;48170;54018
m;196424;-144524;48174;53077
m;196435;-144539;48179;52797
m;196447;-144554;48184;53401
m;196458;-144569;48189;53191
m;196469;-144584;48194;53849
m;196480;-144599;48199;53280
m;196490;-144614;48204;52732
m;196501;-144629;48209;53717
m;196512;-144644;48214;54218
m;196524;-144659;48219;54471
m;196535;-144674;48224;54452
m;196545;-144689;48229;55110
m;196555;-144704;48234;55173
m;196566;-144719;48239;55221
m;196577;-144734;48244;54613
m;196588;-144749;48249;54700
m;196599;-144764;48254;55400
m;196611;-144779;48259;54808
m;196621;-144794;48264;55636
m;196631;-144809;48269;56866
m;196642;-144824;48274;57524
m;196654;-144839;48279;59037
